source_path,sha256,size_bytes,source_role,rows,columns
research/outputs/human_model_profile_correspondence/human_trait_profiles_45.csv,89a7677d3c50fdc71e54fd0e0cc0cb843993bc3da4daf9c0b0537328b96f1438,605000,frozen_AA12_followup4,2205,22
research/outputs/human_model_profile_correspondence/human_trait_profiles_12.csv,0803c544a687e55bce523c6183a93310d36883a00709cbcdfb5bde7a9d0d128d,171516,frozen_AA12_followup4,588,22
research/outputs/human_model_profile_correspondence/human_sapa_item_profile_values.csv,33c72dedf64d09a525443439cb0a547ef2ae5dac042045615e68bdaaf1cd54a3,1321187,frozen_AA12_followup4,5831,20
research/outputs/human_model_profile_correspondence/human_sapa_item_visualization_order.csv,bf3e13945d014bc35728895de9cbb3e030da7eadac4d63286b4820d57090babb,8349,frozen_AA12_followup4,96,8
research/outputs/human_model_profile_correspondence/model_family_trait_profiles_45.csv,a4f75bab888efe324e7508a8c6a023b4e12b9b688aff54f3455422a38a47da2c,74712,frozen_AA12_followup4,225,20
research/outputs/human_model_profile_correspondence/model_family_trait_profiles_12.csv,212965647dd2e7eb25bb1e7ee00f2dc1060a78011da1f391f73e5559cf119aeb,21214,frozen_AA12_followup4,60,20
research/outputs/human_model_profile_correspondence/profile_similarity_45.csv,b6d623926ad486679db35e020cf2c00ff34fa9ef906bed539e92d403c5581860,11505,frozen_AA12_followup4,160,7
research/outputs/human_model_profile_correspondence/profile_similarity_12.csv,124ade6554a08ce306ea9b9c1fe1c5851cc4dbf9e963b76a919d49edcad124b4,10999,frozen_AA12_followup4,160,6
research/outputs/human_model_profile_correspondence/primary_assignments_by_k.csv,159d788a0715dce8eaa25d32be66d590ea0eacc3fe78ba2353096ee7f50ee930,2770,frozen_AA12_followup4,24,9
research/outputs/human_model_profile_correspondence/primary_assignments_12_by_k.csv,59cb72bc4d4232b887308e777274d13bff82ee3c6a43e9a1c3afce9265ab0c32,2802,frozen_AA12_followup4,24,9
research/outputs/human_model_profile_correspondence/bridge_permutation_null_45.csv,837a01f139af67e1027c90639377d657ede4660ce5edbd420f964c1ad2711993,2808178,frozen_AA12_followup4,20000,12
research/outputs/human_model_profile_correspondence/bridge_permutation_null_12.csv,4a40db4b1e5a3a0d454edeaa88afdfcbe1ea454c0b81ecf8569bf2ccb5c5ecef,2166977,frozen_AA12_followup4,20000,9
research/outputs/human_model_profile_correspondence/family_specific_results.csv,a9b37dda44bcd64441b6920382906d2435ccf43b92f2f679cbab696dbebae972,849,frozen_AA12_followup4,4,12
research/outputs/human_model_profile_correspondence/human_stability_sensitivity.csv,b2d58db1bde75f4bebb90c016eafe8ad1b4c8de1ecc6f5d9e02351c26beefeaa,318,frozen_AA12_followup4,3,8
research/outputs/human_model_profile_correspondence/k9_diagnostic.csv,0d819d3066983f1b8b68fa7a9a6a694c417f0a2e4ea03db15ba7fd701c263566,554,frozen_AA12_followup4,4,9
research/outputs/human_model_profile_correspondence/model_specific_replication.csv,adf96002a28f39c52fb34a552975f0a8b6cefc61e6c3f29753a0b06167e75210,2629,frozen_AA12_followup4,32,10
research/outputs/human_model_profile_correspondence/cross_resolution_human_persistence.csv,006ebd9235ae67a44e4ea18833dd7f81f7a455c1df47363fa612d685aeb24b79,2291,frozen_AA12_followup4,15,14
research/outputs/human_model_profile_correspondence/relaxed_split_merge_browsing.csv,8331dc42bc1d52c65de59d0a699b0aabc480bc2d10e103912c7b6b37d015c966,4941,frozen_AA12_followup4,40,11
research/outputs/human_model_profile_correspondence/mfamily_e_secondary.csv,a9de8fbc63eaae45d7072bb0fe5a59b3abe0c4b74d4c9ef3e262465578021745,3820,frozen_AA12_followup4,49,9
research/outputs/human_model_profile_correspondence/primary_global_result.json,9c1459b8a43c5de5b5154f626db374b5ea34cd5501ca8c9ddecdb82f6a03b517,1956,frozen_AA12_followup4,,
research/outputs/human_model_profile_correspondence/robustness_result.json,4960f80bd5cc94541a5615c4cbd8530323b46d9a17a48dc7e8b3a4fdb7342399,1518,frozen_AA12_followup4,,
research/outputs/human_model_profile_correspondence/common_space_manifest.json,3db07cab5fa5dbb1706be75861b83bda28d43778ead16f7ce743ce835bbab61f,3855,frozen_AA12_followup4,,
research/outputs/human_model_profile_correspondence/semantic_profile_summary.md,7ecdaadfbf9251dc10664003edbe58e03fdf3ae68cb9a4ff3e52334c4e3518a1,6149,frozen_AA12_followup4,,
