trait_set,model_family_id,selected_human_profile_id,selected_pearson_r,selected_spearman_rho,same_profile_as_45_trait_assignment,primary_45_human_profile_id,primary_45_pair_r_evaluated_on_12_traits,global_back_transformed_mean_r,global_search_adjusted_p
45_ACCEPT_DIRECT,MFamily_A,H10_C,0.519496033231,0.472742844224,True,H10_C,0.926835134193,0.520168807738,4.9997500125e-05
45_ACCEPT_DIRECT,MFamily_B,H10_J,0.39445674791,0.501334036307,True,H10_J,0.54008048467,0.520168807738,4.9997500125e-05
45_ACCEPT_DIRECT,MFamily_C,H10_G,0.318676662848,0.283013274636,True,H10_G,0.0729448682311,0.520168807738,4.9997500125e-05
45_ACCEPT_DIRECT,MFamily_D,H10_I,0.754531714468,0.73487269054,True,H10_I,0.700407935921,0.520168807738,4.9997500125e-05
12_HUMAN_SUPPORTED,MFamily_A,H10_C,0.926835134193,0.867132867133,True,H10_C,0.926835134193,0.760797000387,0.000649967501625
12_HUMAN_SUPPORTED,MFamily_B,H10_A,0.57689967172,0.671328671329,False,H10_J,0.54008048467,0.760797000387,0.000649967501625
12_HUMAN_SUPPORTED,MFamily_C,H10_D,0.335158849968,0.391608391608,False,H10_G,0.0729448682311,0.760797000387,0.000649967501625
12_HUMAN_SUPPORTED,MFamily_D,H10_J,0.874177646585,0.678321678322,False,H10_I,0.700407935921,0.760797000387,0.000649967501625
