trait_set,K,model_family_id,human_profile_id,pearson_r,spearman_rho,fisher_z,mean_fisher_z_for_K,back_transformed_mean_r_for_K,best_human_profile_id,best_pearson_r,best_spearman_rho,family_specific_search_adjusted_p_over_all_K_profiles,passes_frozen_p05,assigned_minus_unconstrained_best_r,assignment_equals_unconstrained_best,human_stability,appears_in_frozen_mutual_nearest_lineage
45_ACCEPT_DIRECT,4,MFamily_A,H04_B,0.301054155584,0.282090978117,0.310678420167,0.267518862059,0.261314625446,H04_B,0.301054155584,0.282090978117,0.000149992500375,True,0,True,moderate,False
45_ACCEPT_DIRECT,4,MFamily_B,H04_D,0.0238087229936,-0.0288547053749,0.0238132232245,0.267518862059,0.261314625446,H04_C,0.1021922284,0.142297177191,0.0534973251337,False,-0.0783835054064,False,moderate,False
45_ACCEPT_DIRECT,4,MFamily_C,H04_A,0.173596901357,0.16601337339,0.175372959585,0.267518862059,0.261314625446,H04_A,0.173596901357,0.16601337339,0.00089995500225,True,0,True,moderate,False
45_ACCEPT_DIRECT,4,MFamily_D,H04_C,0.508133854665,0.523403274437,0.560210845259,0.267518862059,0.261314625446,H04_C,0.508133854665,0.523403274437,4.9997500125e-05,True,0,True,moderate,False
45_ACCEPT_DIRECT,5,MFamily_A,H05_A,0.51653907062,0.561678579968,0.571607793375,0.400590736966,0.380454306233,H05_A,0.51653907062,0.561678579968,0.000149992500375,True,0,True,moderate,False
45_ACCEPT_DIRECT,5,MFamily_B,H05_E,0.332420691031,0.402253038856,0.345547218596,0.400590736966,0.380454306233,H05_E,0.332420691031,0.402253038856,0.0534973251337,False,0,True,moderate,True
45_ACCEPT_DIRECT,5,MFamily_C,H05_B,0.181209805405,0.163378240479,0.18323328634,0.400590736966,0.380454306233,H05_B,0.181209805405,0.163378240479,0.00089995500225,True,0,True,moderate,False
45_ACCEPT_DIRECT,5,MFamily_D,H05_C,0.463668698098,0.497447215264,0.501974649554,0.400590736966,0.380454306233,H05_C,0.463668698098,0.497447215264,4.9997500125e-05,True,0,True,moderate,False
45_ACCEPT_DIRECT,6,MFamily_A,H06_A,0.623661914326,0.592377878381,0.730975707403,0.482629378712,0.448346919193,H06_A,0.623661914326,0.592377878381,0.000149992500375,True,0,True,moderate,False
45_ACCEPT_DIRECT,6,MFamily_B,H06_E,0.290121850447,0.343621331587,0.298699307823,0.482629378712,0.448346919193,H06_E,0.290121850447,0.343621331587,0.0534973251337,False,0,True,moderate,True
45_ACCEPT_DIRECT,6,MFamily_C,H06_B,0.167862610095,0.142824203773,0.169466484421,0.482629378712,0.448346919193,H06_E,0.171062654521,0.167594453136,0.00089995500225,True,-0.003200044426,False,moderate,False
45_ACCEPT_DIRECT,6,MFamily_D,H06_F,0.623906459666,0.652656543718,0.731376015201,0.482629378712,0.448346919193,H06_F,0.623906459666,0.652656543718,4.9997500125e-05,True,0,True,moderate,True
45_ACCEPT_DIRECT,7,MFamily_A,H07_B,0.540364636259,0.561151553386,0.604670478275,0.466360029636,0.435253601126,H07_B,0.540364636259,0.561151553386,0.000149992500375,True,0,True,low,False
45_ACCEPT_DIRECT,7,MFamily_B,H07_G,0.288928962277,0.336901742664,0.297397276738,0.466360029636,0.435253601126,H07_G,0.288928962277,0.336901742664,0.0534973251337,False,0,True,low,True
45_ACCEPT_DIRECT,7,MFamily_C,H07_D,0.321902048025,0.326361211021,0.333767587222,0.466360029636,0.435253601126,H07_D,0.321902048025,0.326361211021,0.00089995500225,True,0,True,low,False
45_ACCEPT_DIRECT,7,MFamily_D,H07_F,0.557780013308,0.59283902664,0.629604776308,0.466360029636,0.435253601126,H07_F,0.557780013308,0.59283902664,4.9997500125e-05,True,0,True,low,True
45_ACCEPT_DIRECT,8,MFamily_A,H08_B,0.367306849997,0.384597648353,0.385306365845,0.427786297926,0.403469627048,H08_B,0.367306849997,0.384597648353,0.000149992500375,True,0,True,low,False
45_ACCEPT_DIRECT,8,MFamily_B,H08_A,0.0800519327928,0.113442471816,0.0802235925597,0.427786297926,0.403469627048,H08_H,0.361148009213,0.39974966259,0.0534973251337,False,-0.28109607642,False,low,False
45_ACCEPT_DIRECT,8,MFamily_C,H08_H,0.530974186075,0.532692117948,0.591500863703,0.427786297926,0.403469627048,H08_H,0.530974186075,0.532692117948,0.00089995500225,True,0,True,low,True
45_ACCEPT_DIRECT,8,MFamily_D,H08_F,0.574433217816,0.581112685186,0.654114369594,0.427786297926,0.403469627048,H08_F,0.574433217816,0.581112685186,4.9997500125e-05,True,0,True,low,True
45_ACCEPT_DIRECT,10,MFamily_A,H10_C,0.519496033231,0.472742844224,0.575649258949,0.576571153069,0.520168807738,H10_C,0.519496033231,0.472742844224,0.000149992500375,True,0,True,low,True
45_ACCEPT_DIRECT,10,MFamily_B,H10_J,0.39445674791,0.501334036307,0.417067098961,0.576571153069,0.520168807738,H10_J,0.39445674791,0.501334036307,0.0534973251337,False,0,True,low,True
45_ACCEPT_DIRECT,10,MFamily_C,H10_G,0.318676662848,0.283013274636,0.33017349676,0.576571153069,0.520168807738,H10_I,0.555653425345,0.524127935987,0.00089995500225,True,-0.236976762497,False,low,True
45_ACCEPT_DIRECT,10,MFamily_D,H10_I,0.754531714468,0.73487269054,0.983394757605,0.576571153069,0.520168807738,H10_I,0.754531714468,0.73487269054,4.9997500125e-05,True,0,True,low,True
