narrow_occupation_code,narrow_occupation_title,intermediate_parent_code,broad_parent_code,narrow_n,narrow_sample_size_gain_vs_narrow,narrow_distinct_narrow_codes,narrow_within_cell_5d_rms_heterogeneity,narrow_bootstrap_p95_displacement,narrow_split_median_distance,narrow_feasibility_tier,intermediate_n,intermediate_sample_size_gain_vs_narrow,intermediate_distinct_narrow_codes,intermediate_within_cell_5d_rms_heterogeneity,intermediate_bootstrap_p95_displacement,intermediate_split_median_distance,intermediate_feasibility_tier,broad_n,broad_sample_size_gain_vs_narrow,broad_distinct_narrow_codes,broad_within_cell_5d_rms_heterogeneity,broad_bootstrap_p95_displacement,broad_split_median_distance,broad_feasibility_tier,semantic_cost_note
0020,General and operations managers,11-1000,11-0000,22,0,1,2.041190387,0.8096392114,0.934197421,BROAD-FAMILY ONLY,31,9,2,1.999852231,0.7048110992,0.7514322237,BROAD-FAMILY ONLY,325,303,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0040,Advertising and promotions managers,11-2000,11-0000,10,0,1,1.476506229,0.9236827265,0.9396893258,BROAD-FAMILY ONLY,49,39,3,2.098989044,0.4976942261,0.5713240957,BROAD-FAMILY ONLY,325,315,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0050,Marketing and sales managers,11-2000,11-0000,36,0,1,2.218114472,0.6021453079,0.7208694826,BROAD-FAMILY ONLY,49,13,3,2.098989044,0.4976942261,0.5713240957,BROAD-FAMILY ONLY,325,289,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0110,Computer and information systems managers,11-3000,11-0000,10,0,1,1.795243387,1.030465708,1.138054464,BROAD-FAMILY ONLY,69,59,7,1.983898066,0.4063539566,0.4643485005,MODERATE / EXPLORATORY,325,315,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0120,Financial managers,11-3000,11-0000,41,0,1,1.960883556,0.5265285473,0.6034225265,BROAD-FAMILY ONLY,69,28,7,1.983898066,0.4063539566,0.4643485005,MODERATE / EXPLORATORY,325,284,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0160,"Transportation, storage, and distribution managers",11-3000,11-0000,11,0,1,1.975990823,1.141742533,1.252643275,BROAD-FAMILY ONLY,69,58,7,1.983898066,0.4063539566,0.4643485005,MODERATE / EXPLORATORY,325,314,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0220,Construction managers,11-9000,11-0000,21,0,1,2.137112135,0.8072845709,0.9385427949,BROAD-FAMILY ONLY,176,155,10,2.154113845,0.2889230668,0.3200696522,STRONG CENTROID,325,304,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0230,Education administrators,11-9000,11-0000,19,0,1,2.067997189,0.8529343366,1.026553003,BROAD-FAMILY ONLY,176,157,10,2.154113845,0.2889230668,0.3200696522,STRONG CENTROID,325,306,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0310,Food service managers,11-9000,11-0000,41,0,1,2.212328031,0.6126186042,0.7105064588,BROAD-FAMILY ONLY,176,135,10,2.154113845,0.2889230668,0.3200696522,STRONG CENTROID,325,284,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0410,"Property, real estate, and community association managers",11-9000,11-0000,14,0,1,2.184314133,1.176256397,1.340716566,BROAD-FAMILY ONLY,176,162,10,2.154113845,0.2889230668,0.3200696522,STRONG CENTROID,325,311,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
