census_2002_code,occupation_title,soc_2000_source_code,intermediate_level,intermediate_code,intermediate_title,broad_level,broad_code,broad_title,included_as_occupation,mapping_note
0010,Chief executives,11-1011,2000_SOC_minor_group,11-1000,Top Executives,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0020,General and operations managers,11-1021,2000_SOC_minor_group,11-1000,Top Executives,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0030,Legislators,11-1031,2000_SOC_minor_group,11-1000,Top Executives,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0040,Advertising and promotions managers,11-2011,2000_SOC_minor_group,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0050,Marketing and sales managers,11-2020,2000_SOC_minor_group,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0060,Public relations managers,11-2031,2000_SOC_minor_group,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0100,Administrative services managers,11-3011,2000_SOC_minor_group,11-3000,Operations Specialties Managers,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0110,Computer and information systems managers,11-3021,2000_SOC_minor_group,11-3000,Operations Specialties Managers,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0120,Financial managers,11-3031,2000_SOC_minor_group,11-3000,Operations Specialties Managers,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0130,Human resources managers,11-3040,2000_SOC_minor_group,11-3000,Operations Specialties Managers,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0140,Industrial production managers,11-3051,2000_SOC_minor_group,11-3000,Operations Specialties Managers,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0150,Purchasing managers,11-3061,2000_SOC_minor_group,11-3000,Operations Specialties Managers,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0160,"Transportation, storage, and distribution managers",11-3071,2000_SOC_minor_group,11-3000,Operations Specialties Managers,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0200,"Farm, ranch, and other agricultural managers",11-9011,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0210,Farmers and ranchers,11-9012,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0220,Construction managers,11-9021,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0230,Education administrators,11-9030,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0300,Engineering managers,11-9041,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0310,Food service managers,11-9051,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0320,Funeral directors,11-9061,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0330,Gaming managers,11-9071,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0340,Lodging managers,11-9081,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0350,Medical and health services managers,11-9111,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0360,Natural sciences managers,11-9121,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0400,Postmasters and mail superintendents,11-9131,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0410,"Property, real estate, and community association managers",11-9141,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0420,Social and community service managers,11-9151,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0430,"Managers, all other",11-9199,2000_SOC_minor_group,11-9000,Other Management Occupations,2000_SOC_major_group,11-0000,Management Occupations,1,official 2002 Census-to-2000-SOC mapping
0500,"Agents and business managers of artists, performers, and athletes",13-1011,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0510,"Purchasing agents and buyers, farm products",13-1021,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0520,"Wholesale and retail buyers, except farm products",13-1022,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0530,"Purchasing agents, except wholesale, retail, and farm products",13-1023,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
