occupation_level,occupation_code,occupation_title,analytic_n,split_replicates,split_seed_first,split_seed_last,euclidean_distance_median,euclidean_distance_p05,euclidean_distance_p95,uncentered_cosine_median,uncentered_cosine_p05,uncentered_cosine_p95,centered_cosine_median,centered_cosine_p05,centered_cosine_p95,pearson_r_median,pearson_r_p05,pearson_r_p95,kendall_tau_b_median,kendall_tau_b_p05,kendall_tau_b_p95
narrow,4030,Food preparation workers,46,500,20260911,20261410,0.7215641234,0.3574760428,1.219212849,0.3638287172,-0.3239281373,0.8180034388,-0.3756616323,-0.8108143746,0.4654284524,-0.3756616323,-0.8108143746,0.4654284524,-0.2,-0.8,0.4
narrow,4040,Bartenders,32,500,20260911,20261410,0.7623204298,0.3968754561,1.16261006,0.4477933486,0.009834840786,0.842160162,0.5858461479,0.1073543401,0.9191093248,0.5858461479,0.1073543401,0.9191093248,0.4,0,0.8
narrow,4050,"Combined food preparation and serving workers, including fast food",30,500,20260911,20261410,0.9118260849,0.4691516017,1.368961456,0.7990578037,0.5483176553,0.952214671,0.6335461131,0.1506753109,0.9425780052,0.6335461131,0.1506753109,0.9425780052,0.6,0,1
narrow,4110,Waiters and waitresses,159,500,20260911,20261410,0.3564030121,0.1643086196,0.5789027059,0.7085080337,0.3333537057,0.9339122358,0.8220209595,0.5143260096,0.9677420773,0.8220209595,0.5143260096,0.9677420773,0.6,0.2,0.8
narrow,4130,Dining room and cafeteria attendants and bartender helpers,10,500,20260911,20261410,1.569620158,0.7839481062,2.391186261,0.3753783066,-0.2810617698,0.8250793175,0.3099497607,-0.3944210327,0.8298331469,0.3099497607,-0.3944210327,0.8298331469,0.2,-0.21,0.6
narrow,4140,Dishwashers,15,500,20260911,20261410,1.8212182,1.034895117,2.63523171,0.6354928416,0.2915922902,0.8804956425,0.09178164338,-0.4278602929,0.6913869751,0.09178164338,-0.4278602929,0.6913869751,0,-0.4,0.6
narrow,4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",11,500,20260911,20261410,1.627113758,0.8859992544,2.987607949,-0.1020798569,-0.7468889856,0.5103891585,0.007656278006,-0.2974743323,0.7303625361,0.007656278006,-0.2974743323,0.7303625361,0.2,-0.2,0.6
narrow,4220,Janitors and building cleaners,82,500,20260911,20261410,0.5385319102,0.2766108839,0.8969919093,0.7350035729,0.3530393175,0.9357323205,0.2230230591,-0.4224901395,0.7982793371,0.2230230591,-0.4224901395,0.7982793371,0.2,-0.4,0.6
narrow,4230,Maids and housekeeping cleaners,48,500,20260911,20261410,0.7403664391,0.3814767975,1.178473424,0.4602707283,-0.03934445038,0.8519828626,0.2421409179,-0.3896920199,0.7879329185,0.2421409179,-0.3896920199,0.7879329185,0,-0.4,0.6
narrow,4250,Grounds maintenance workers,70,500,20260911,20261410,0.5629227365,0.2962688225,0.9248734203,0.3957767534,-0.1460793382,0.8356000615,0.5223895601,-0.01615827413,0.9083035592,0.5223895601,-0.01615827413,0.9083035592,0.4,0,0.8
