occupation_level,eligible_class_minimum_n,eligible_classes,eligible_class_codes,respondent_n,minimum_class_n,maximum_class_n,cv_repeats,folds_per_repeat,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_p05,balanced_accuracy_p95,uniform_multiclass_baseline,above_baseline_absolute,status,model
narrow,50,27,0430;0800;2310;2320;2540;3130;3600;3650;3920;4020;4110;4220;4250;4600;4610;4700;4720;4760;5240;5400;5620;5700;6230;6260;8960;9130;9620,2675,54,213,10,5,0.04876346214,0.009324824809,0.03429382972,0.0633820987,0.03703703704,0.0117264251,completed_descriptive_control,fixed L2 multinomial logistic regression C=1; class-balanced fitting; no tuning
intermediate,50,39,11-3000;11-9000;13-1000;13-2000;15-1000;17-2000;21-1000;25-2000;25-9000;27-3000;29-1000;29-2000;31-1000;31-9000;33-3000;33-9000;35-1000;35-2000;35-3000;37-2000;37-3000;39-5000;39-9000;41-1000;41-2000;41-3000;41-9000;43-3000;43-4000;43-5000;43-6000;43-9000;47-2000;49-3000;49-9000;51-4000;51-9000;53-3000;53-7000,5293,52,381,10,5,0.03500424789,0.006654149206,0.02590338896,0.04805312808,0.02564102564,0.009363222251,completed_descriptive_control,fixed L2 multinomial logistic regression C=1; class-balanced fitting; no tuning
broad,50,20,11-0000;13-0000;15-0000;17-0000;19-0000;21-0000;25-0000;27-0000;29-0000;31-0000;33-0000;35-0000;37-0000;39-0000;41-0000;43-0000;47-0000;49-0000;51-0000;53-0000,6180,55,937,10,5,0.08410668478,0.01012857479,0.06900012652,0.09803762092,0.05,0.03410668478,completed_descriptive_control,fixed L2 multinomial logistic regression C=1; class-balanced fitting; no tuning
