role,base_rank,instruct_rank,rank_shift,abs_rank_shift
jester,8,273,-265,265
absurdist,9,269,-260,260
eldritch,1,260,-259,259
moderator,264,7,257,257
examiner,257,5,252,252
scheduler,268,17,251,251
leviathan,20,267,-247,247
wraith,3,248,-245,245
validator,253,9,244,244
debugger,250,8,242,242
facilitator,266,24,242,242
marketer,271,31,240,240
organizer,267,29,238,238
luddite,30,264,-234,234
supervisor,273,40,233,233
translator,243,11,232,232
hoarder,39,270,-231,231
bard,32,262,-230,230
evaluator,245,16,229,229
wind,26,253,-227,227
coordinator,261,35,226,226
grader,229,3,226,226
amnesiac,2,226,-224,224
caveman,44,268,-224,224
daredevil,10,234,-224,224
demon,28,251,-223,223
flaneur,16,239,-223,223
zealot,50,272,-222,222
interviewer,233,13,220,220
consultant,246,27,219,219
programmer,260,41,219,219
revenant,14,230,-216,216
producer,265,51,214,214
reviewer,219,10,209,209
engineer,228,20,208,208
pirate,63,271,-208,208
trickster,53,261,-208,208
cynic,33,240,-207,207
researcher,220,15,205,205
accountant,226,22,204,204
collaborator,235,32,203,203
dispatcher,255,52,203,203
hermit,43,245,-202,202
smuggler,29,231,-202,202
therapist,262,62,200,200
planner,216,18,198,198
trainer,247,49,198,198
provocateur,21,218,-197,197
dilettante,6,201,-195,195
recruiter,275,80,195,195
strategist,221,26,195,195
editor,198,4,194,194
instructor,249,57,192,192
negotiator,252,60,192,192
analyst,205,14,191,191
generalist,232,44,188,188
vampire,40,228,-188,188
chimera,17,204,-187,187
whale,68,252,-184,184
poet,92,275,-183,183
mycorrhizal,15,197,-182,182
proofreader,183,1,182,182
pharmacist,227,47,180,180
ghost,58,237,-179,179
teacher,270,92,178,178
tree,78,256,-178,178
publisher,217,43,174,174
witch,60,233,-173,173
lawyer,193,21,172,172
observer,197,25,172,172
secretary,202,30,172,172
tutor,244,73,171,171
stoic,12,182,-170,170
fool,106,274,-168,168
student,254,87,167,167
hedonist,49,215,-166,166
mentor,234,68,166,166
entrepreneur,269,104,165,165
rogue,51,216,-165,165
auditor,190,28,162,162
bohemian,101,263,-162,162
caregiver,272,110,162,162
interpreter,248,86,162,162
prophet,97,259,-162,162
mediator,195,34,161,161
coral reef,47,205,-158,158
shapeshifter,11,169,-158,158
specialist,224,66,158,158
