rank,role,projection_score
1,eldritch,3.477947e+07
2,amnesiac,3.40809e+07
3,wraith,3.3333224e+07
4,pragmatist,3.2412346e+07
5,symbiont,2.8604108e+07
6,dilettante,2.8402902e+07
7,cyborg,2.6529624e+07
8,jester,2.4892158e+07
9,absurdist,2.429745e+07
10,daredevil,2.1833096e+07
11,shapeshifter,2.1363896e+07
12,stoic,2.0990794e+07
13,geographer,2.0590808e+07
14,revenant,2.0540442e+07
15,mycorrhizal,2.0256324e+07
16,flaneur,1.804319e+07
17,chimera,1.706386e+07
18,polymath,1.638876e+07
19,podcaster,1.627265e+07
20,leviathan,1.5994404e+07
21,provocateur,1.5332803e+07
22,egregore,1.5126721e+07
23,purist,1.4859576e+07
24,saboteur,1.4855331e+07
25,futurist,1.4640934e+07
26,wind,1.4302064e+07
27,cartographer,1.4232403e+07
28,demon,1.4196812e+07
29,smuggler,1.4155014e+07
30,luddite,1.3679831e+07
31,statistician,1.305364e+07
32,bard,1.2723839e+07
33,cynic,1.2653748e+07
34,loner,1.2439082e+07
35,conservator,1.2378156e+07
36,skeptic,1.2373041e+07
37,sommelier,1.2270341e+07
38,paramedic,1.2239903e+07
39,hoarder,1.2189396e+07
40,vampire,1.2135435e+07
41,workaholic,1.1953487e+07
42,homunculus,1.1912898e+07
43,hermit,1.1399009e+07
44,caveman,1.1392099e+07
45,empath,1.1343932e+07
46,linguist,1.1218122e+07
47,coral reef,1.1200554e+07
48,tulpa,1.1075671e+07
49,hedonist,1.0949844e+07
50,zealot,1.081953e+07
51,rogue,1.0379213e+07
52,archivist,1.0264331e+07
53,trickster,1.0205624e+07
54,spy,1.0075322e+07
55,forecaster,9.70581e+06
56,zeitgeist,9.67735e+06
57,simulacrum,9.612075e+06
58,ghost,9.529574e+06
59,retiree,8.1160245e+06
60,witch,8.022013e+06
61,mystic,7.8908585e+06
62,reporter,7.6804345e+06
63,pirate,7.5947625e+06
64,vigilante,7.286341e+06
65,screener,7.1403675e+06
66,optimist,6.6806415e+06
67,contrarian,6.6085565e+06
68,whale,6.5783e+06
69,summarizer,6.5782085e+06
70,emissary,6.4769345e+06
71,expatriate,6.0533355e+06
72,pacifist,5.8015935e+06
73,archaeologist,5.530961e+06
74,improviser,5.441439e+06
75,auctioneer,5.400505e+06
76,ascetic,5.2472175e+06
77,anthropologist,4.886556e+06
78,tree,4.5367325e+06
79,hive,4.3775515e+06
80,widow,4.1757902e+06
81,physicist,4.065362e+06
82,sociologist,3.963767e+06
83,historian,3.8201435e+06
84,crystalline,3.8166965e+06
85,rebel,3.8070798e+06
86,scout,3.4454885e+06
87,philosopher,3.3569245e+06
88,naturalist,3.257718e+06
89,hacker,3.1284355e+06
90,echo,3.0960295e+06
91,destroyer,3.067286e+06
92,poet,3.0459168e+06
93,technologist,2.9114935e+06
94,evangelist,2.7195722e+06
95,anarchist,2.6698825e+06
96,virus,2.58097e+06
97,prophet,2.3820772e+06
98,ancient,2.3260985e+06
99,genie,2.233021e+06
100,pilgrim,2.0533532e+06
101,bohemian,1.79987e+06
102,predator,1.716187e+06
103,exile,1.6747979e+06
104,economist,1.2832859e+06
105,surfer,1.2777332e+06
106,fool,1.258516e+06
107,soldier,1.2395438e+06
108,alien,1.2182756e+06
109,judge,1.2081942e+06
110,aberration,938136.3
111,altruist,755881.75
112,newlywed,495501.6
113,chemist,466585.44
114,golem,203378.25
115,warrior,107307.44
116,swarm,83995.94
117,chef,31542.984
118,criminal,5785.1875
119,critic,-92492.42
120,maverick,-154509.66
121,traditionalist,-407040.94
122,provincial,-555166.1
123,sage,-592811.75
124,idealist,-595187.06
125,orphan,-1.12213e+06
126,grandparent,-1.145625e+06
127,oracle,-1.1696398e+06
128,realist,-1.1920195e+06
129,nomad,-1.3671304e+06
130,guru,-1.4113029e+06
131,angel,-1.8090048e+06
132,virtuoso,-1.831259e+06
133,detective,-1.8584886e+06
134,comedian,-1.8736515e+06
135,void,-1.931166e+06
136,psychologist,-2.0114698e+06
137,playwright,-2.041147e+06
138,fixer,-2.3114022e+06
139,shaman,-2.329268e+06
140,robot,-2.5026882e+06
141,wanderer,-2.5178118e+06
142,artisan,-2.7604035e+06
143,actor,-2.7674502e+06
144,gamer,-2.8929578e+06
145,prodigy,-2.900554e+06
