model,model_label,persona,trait,group,category_position,raw_affinity,z_score,ridge_height_percentile,pc1,pc2,pc3,rank_pc1,rank_pc2,rank_pc3
qwen,Qwen/Qwen3-32B,aberration,creative,Exploration,1,0.3349973090831352,1.6752804317413474,96.9090909090909,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,abstract,Exploration,2,0.2850000831128762,1.5809651224408579,95.0909090909091,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,curious,Exploration,3,0.41219846253248793,0.053293414005828446,51.45454545454545,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,reactive,Response,4,-0.3904744260691408,0.7452622341055852,78.0,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,adaptable,Response,5,0.08987539903816878,-2.2208184969286973,0.9090909090909091,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,practical,Response,6,-0.2993969630983746,-1.5236700565032044,6.363636363636363,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,skeptical,Scrutiny,7,0.20379935075109046,1.5584896897054141,93.63636363636364,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,analytical,Scrutiny,8,0.3305338238710697,-0.9220834264242356,22.727272727272727,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,conscientious,Scrutiny,9,0.30910275438693763,-0.8226074708289496,19.454545454545453,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,rebellious,Challenge,10,0.12746892570761556,2.041397407940227,97.63636363636364,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,competitive,Challenge,11,-0.008750936419745628,2.1069311478742576,96.54545454545455,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,manipulative,Challenge,12,-0.06813967463382312,1.7874041197340595,96.54545454545455,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,empathetic,Affiliation,13,-0.009056066660467455,-0.3567128900112228,38.0,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,agreeable,Affiliation,14,0.09408120322421806,-2.439525370018418,2.0,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,aberration,altruistic,Affiliation,15,0.04598004886997684,-1.0542563584898736,14.363636363636363,-47.93762578341881,-16.326007106437135,31.10837994068234,259,220,8
qwen,Qwen/Qwen3-32B,absurdist,creative,Exploration,1,0.36004430340545285,2.089101435295731,99.81818181818181,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,abstract,Exploration,2,0.22139099715960797,0.25245466689107426,59.45454545454545,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,curious,Exploration,3,0.43662581436536385,1.0110675142890488,85.27272727272727,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,reactive,Response,4,-0.3670341025075563,1.0658708279092763,84.54545454545455,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,adaptable,Response,5,0.1414272814732397,-0.9597031062984643,16.545454545454547,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,practical,Response,6,-0.2453473507987949,-0.36446528651870824,39.09090909090909,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,skeptical,Scrutiny,7,0.19463721896858316,1.3351389196841457,90.36363636363636,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,analytical,Scrutiny,8,0.35846319707655827,-0.5424972233232984,36.18181818181818,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,conscientious,Scrutiny,9,0.2583033418437155,-1.5517478470678083,7.818181818181818,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,rebellious,Challenge,10,0.12991963111663277,2.084048657353955,98.0,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,competitive,Challenge,11,-0.02328215379024283,1.8511739543631929,92.54545454545455,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,manipulative,Challenge,12,-0.08415215661570373,1.530826352892022,93.27272727272727,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,empathetic,Affiliation,13,0.01883701014775322,0.07712865119693664,53.27272727272727,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,agreeable,Affiliation,14,0.1077492922856889,-2.192714131828416,4.181818181818182,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,absurdist,altruistic,Affiliation,15,0.04144824127159201,-1.163395497890238,12.909090909090908,-34.38396676716284,14.55109908938147,33.406228337123466,226,61,5
qwen,Qwen/Qwen3-32B,accountant,creative,Exploration,1,0.12862868818441187,-1.734297128882362,4.181818181818182,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,abstract,Exploration,2,0.179819086252414,-0.6157973676998051,26.727272727272727,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,curious,Exploration,3,0.3606157126372776,-1.9692189814855035,3.8181818181818183,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,reactive,Response,4,-0.5381429400691451,-1.2744963455162477,8.545454545454545,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,adaptable,Response,5,0.14807624307456096,-0.7970493405955994,19.818181818181817,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,practical,Response,6,-0.21598018509236275,0.2653738024119261,60.54545454545455,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,skeptical,Scrutiny,7,0.14441420880637793,0.11082254236122445,55.45454545454545,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,analytical,Scrutiny,8,0.502626131837407,1.4168113737992791,91.0909090909091,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,conscientious,Scrutiny,9,0.4391240196628135,1.0436297460215773,88.54545454545455,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,rebellious,Challenge,10,-0.0822129555650842,-1.607835250867233,3.090909090909091,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,competitive,Challenge,11,-0.1608076765356233,-0.5693487614357476,34.72727272727273,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,manipulative,Challenge,12,-0.25253133170389874,-1.1672158853893615,14.363636363636363,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,empathetic,Affiliation,13,-0.08167593015257432,-1.4862230446764284,5.636363636363637,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,agreeable,Affiliation,14,0.26429735658085746,0.6341493317595771,70.72727272727273,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,accountant,altruistic,Affiliation,15,0.06312333694782747,-0.6413960005223414,21.272727272727273,42.24790302485423,-4.026883124169549,7.345582691417099,15,146,85
qwen,Qwen/Qwen3-32B,activist,creative,Exploration,1,0.21948442844838895,-0.23319830916432646,42.36363636363637,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,abstract,Exploration,2,0.2125705081948244,0.06823394374807201,54.0,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,curious,Exploration,3,0.4199647664352617,0.35780307939633466,60.90909090909091,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,reactive,Response,4,-0.45723229504542945,-0.16782868128159928,46.72727272727273,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,adaptable,Response,5,0.1996924332154047,0.4656392115498963,70.36363636363636,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,practical,Response,6,-0.22345962789315854,0.10496181419168668,55.81818181818182,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,skeptical,Scrutiny,7,0.14937525053233086,0.23176082571082315,60.18181818181818,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,analytical,Scrutiny,8,0.4040623990566423,0.07723841545041338,53.63636363636363,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,conscientious,Scrutiny,9,0.39070437704813005,0.34864697622315205,56.18181818181818,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,rebellious,Challenge,10,0.0381247029101364,0.48648072305840095,67.45454545454545,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,competitive,Challenge,11,-0.14656638152048196,-0.3186943563594961,46.0,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,manipulative,Challenge,12,-0.20938406358675826,-0.47584088734984237,39.81818181818182,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,empathetic,Affiliation,13,0.03310424970435038,0.2990375227272329,62.0,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,agreeable,Affiliation,14,0.22993918924262116,0.013727428993833134,40.18181818181818,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,activist,altruistic,Affiliation,15,0.1308374586229403,0.9893574691323095,86.36363636363636,13.519598034170489,4.204792712031452,-8.246736028177706,106,97,193
qwen,Qwen/Qwen3-32B,actor,creative,Exploration,1,0.2981757007990256,1.0669218120789685,84.54545454545455,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,abstract,Exploration,2,0.17924824260974684,-0.6277197485421363,26.0,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,curious,Exploration,3,0.44762672276947113,1.4424030606523437,94.36363636363636,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,reactive,Response,4,-0.3622595939246966,1.1311748958686025,86.36363636363636,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,adaptable,Response,5,0.2175111350917513,0.9015386999073788,81.27272727272727,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,practical,Response,6,-0.19981177347809223,0.612138544450249,71.81818181818181,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,skeptical,Scrutiny,7,0.1282593918935505,-0.2829930982216271,40.90909090909091,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,analytical,Scrutiny,8,0.3374237675114675,-0.8284426731285583,26.0,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,conscientious,Scrutiny,9,0.29090784628153266,-1.083764863747985,12.909090909090908,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,rebellious,Challenge,10,0.06697272725819715,0.9885419977572104,82.0,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,competitive,Challenge,11,-0.09417861441811355,0.6033583489848042,75.81818181818181,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,manipulative,Challenge,12,-0.11013500792569306,1.1144872761111972,84.54545454545455,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,empathetic,Affiliation,13,0.0868307922531927,1.134685959198964,84.54545454545455,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,agreeable,Affiliation,14,0.1988098433910945,-0.5483900959290925,25.272727272727273,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,actor,altruistic,Affiliation,15,0.0825356001334666,-0.17389210678926942,37.63636363636363,-23.89004845129744,21.456843196797983,0.28310250054088654,204,40,138
qwen,Qwen/Qwen3-32B,addict,creative,Exploration,1,0.26494814703180536,0.5179433810280061,63.45454545454545,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
qwen,Qwen/Qwen3-32B,addict,abstract,Exploration,2,0.1540676841554472,-1.1536294465323929,10.0,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
qwen,Qwen/Qwen3-32B,addict,curious,Exploration,3,0.4286587387403498,0.6986857734911637,72.54545454545455,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
qwen,Qwen/Qwen3-32B,addict,reactive,Response,4,-0.30951634596619004,1.8525786988574524,96.18181818181819,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
qwen,Qwen/Qwen3-32B,addict,adaptable,Response,5,0.24236642682716417,1.5095745167490393,92.54545454545455,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
qwen,Qwen/Qwen3-32B,addict,practical,Response,6,-0.1638364591190427,1.3837029319162852,91.81818181818181,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
qwen,Qwen/Qwen3-32B,addict,skeptical,Scrutiny,7,0.11355614973858826,-0.6414228321608288,23.454545454545453,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
qwen,Qwen/Qwen3-32B,addict,analytical,Scrutiny,8,0.2998888278500197,-1.3385774736801102,9.636363636363637,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
qwen,Qwen/Qwen3-32B,addict,conscientious,Scrutiny,9,0.2542030069859149,-1.6106012776734921,7.090909090909091,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
qwen,Qwen/Qwen3-32B,addict,rebellious,Challenge,10,0.09336457923592387,1.4478568778935512,91.0909090909091,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
qwen,Qwen/Qwen3-32B,addict,competitive,Challenge,11,-0.11932422260964244,0.16078220300741988,62.36363636363637,-19.963020546393704,38.66393954527176,-16.28229715869853,193,15,237
