left,right,k,aligned_mean_axis_correlation,mean_canonical_correlation,min_canonical_correlation,permutation_p
qwen,llama,3,0.9413397249327252,0.941339724932725,0.8926110824525075,0.001996007984031936
qwen,llama,6,0.9407887105405096,0.9407887105405092,0.8032631794416996,0.001996007984031936
qwen,llama,10,0.8900369492366197,0.8900369492366196,0.40129468964836246,0.001996007984031936
qwen,llama,20,0.8652444586055793,0.865244458605579,0.14616795593574716,0.001996007984031936
qwen,gemma,3,0.954671568919989,0.9546715689199887,0.9241044979144852,0.001996007984031936
qwen,gemma,6,0.9306674040056787,0.9306674040056784,0.8059326103939779,0.001996007984031936
qwen,gemma,10,0.8763901719204134,0.8763901719204131,0.2359235436808447,0.001996007984031936
qwen,gemma,20,0.8680958667038222,0.8680958667038221,0.2107264967905623,0.001996007984031936
llama,gemma,3,0.9738269728009875,0.9738269728009877,0.9636144481587666,0.001996007984031936
llama,gemma,6,0.9024367999217543,0.9024367999217547,0.5694804098329825,0.001996007984031936
llama,gemma,10,0.9340004869982174,0.9340004869982174,0.7065762138759515,0.001996007984031936
llama,gemma,20,0.8890230155333463,0.8890230155333464,0.20294200280280913,0.001996007984031936
