model,pc,eigenvalue,explained_variance,cumulative_variance
qwen,1,1949.0866065539271,0.3528356824760041,0.3528356824760041
qwen,2,928.4167598932085,0.1680677297753609,0.520903412251365
qwen,3,738.810555295488,0.13374404483700741,0.6546474570883725
qwen,4,448.9519016356837,0.08127204305846404,0.7359195001468365
qwen,5,247.14672908289313,0.04474002567892664,0.7806595258257631
qwen,6,208.09912840035082,0.03767138809784227,0.8183309139236055
qwen,7,130.05852594171856,0.023543996766569382,0.8418749106901748
qwen,8,95.21580814533152,0.017236553027708056,0.8591114637178829
qwen,9,66.26366399401032,0.011995457272175538,0.8711069209900585
qwen,10,63.41312497979651,0.01147943511332296,0.8825863561033814
qwen,11,52.40272599411988,0.009486264759896272,0.8920726208632777
qwen,12,45.125506411929095,0.008168897574068768,0.9002415184373465
qwen,13,40.38143579773843,0.007310096642779311,0.9075516150801257
qwen,14,32.566906326172415,0.005895462305825051,0.9134470773859508
qwen,15,28.840329587724376,0.005220854393386381,0.9186679317793371
qwen,16,26.04454574705546,0.004714744353862846,0.9233826761332
qwen,17,24.087992839300796,0.00436055707547988,0.9277432332086799
qwen,18,21.722192135495167,0.003932285236187255,0.9316755184448672
qwen,19,20.05921351083984,0.003631242585747682,0.9353067610306148
qwen,20,18.825360628881857,0.0034078829247573767,0.9387146439553722
qwen,21,17.261589552681325,0.003124799436803511,0.9418394433921757
qwen,22,15.711229749529805,0.0028441437402382925,0.9446835871324141
qwen,23,13.48317846892351,0.0024408081513830693,0.9471243952837971
qwen,24,12.39679185622612,0.002244143744252594,0.9493685390280497
qwen,25,11.974524765290345,0.0021677023502598954,0.9515362413783096
qwen,26,11.774682763551079,0.0021315257181728727,0.9536677670964825
qwen,27,10.700914131236816,0.00193714549569842,0.9556049125921809
qwen,28,9.957050052863217,0.0018024866309359264,0.9574073992231169
qwen,29,9.371719717350862,0.0016965265223856162,0.9591039257455025
qwen,30,9.268129453700483,0.00167777397375589,0.9607816997192584
qwen,31,8.048821330215246,0.0014570472946787143,0.9622387470139371
qwen,32,7.591922770974645,0.001374336698633428,0.9636130837125705
qwen,33,7.409926615740257,0.001341390631781289,0.9649544743443518
qwen,34,7.005750074716629,0.001268224100743964,0.9662226984450958
qwen,35,6.689037648368108,0.0012108908633580245,0.9674335893084538
qwen,36,6.446365010415708,0.0011669607652586005,0.9686005500737124
qwen,37,5.987640457125093,0.0010839196165048466,0.9696844696902173
qwen,38,5.371978769629615,0.0009724687394882201,0.9706569384297055
qwen,39,5.1517982003244915,0.0009326102944209261,0.9715895487241264
qwen,40,4.974846832073475,0.0009005774660325059,0.972490126190159
qwen,41,4.9436831380009565,0.0008949360218660041,0.9733850622120249
qwen,42,4.592678364118658,0.0008313949721616694,0.9742164571841866
qwen,43,4.513808482538223,0.0008171174596075013,0.9750335746437941
qwen,44,4.299655875804943,0.000778350233514687,0.9758119248773088
qwen,45,4.195829058423588,0.0007595548624691531,0.976571479739778
qwen,46,3.831792203586179,0.0006936546650684474,0.9772651344048464
qwen,47,3.685418818712802,0.0006671572518829796,0.9779322916567293
qwen,48,3.5946226685547957,0.0006507207726113709,0.9785830124293408
qwen,49,3.4099539719175898,0.0006172909058261568,0.9792003033351669
qwen,50,3.241825032602345,0.0005868551679539722,0.9797871585031209
qwen,51,3.1617502535755264,0.0005723595374304032,0.9803595180405513
qwen,52,3.116418800909951,0.0005641533581949068,0.9809236713987463
qwen,53,2.953348734231909,0.0005346334086583993,0.9814583048074047
qwen,54,2.808926308389953,0.000508489170113309,0.981966793977518
qwen,55,2.7638040325145568,0.0005003208573508942,0.9824671148348688
qwen,56,2.6836903848121807,0.0004858181905798741,0.9829529330254487
qwen,57,2.541243625782082,0.0004600315994300112,0.9834129646248787
qwen,58,2.483788117312524,0.00044963064881309387,0.9838625952736918
qwen,59,2.2997692820193043,0.0004163184239377104,0.9842789136976295
qwen,60,2.258061659437765,0.00040876825278137195,0.9846876819504109
qwen,61,2.1805564360723095,0.0003947377790765859,0.9850824197294875
qwen,62,2.144402504966438,0.0003881929714148655,0.9854706127009024
qwen,63,2.072834193923227,0.0003752372342066392,0.985845849935109
qwen,64,2.0245620366764707,0.00036649871048507825,0.9862123486455942
qwen,65,1.9938292051726618,0.0003609352637189859,0.9865732839093131
qwen,66,1.879811122008037,0.00034029500686599557,0.986913578916179
qwen,67,1.8479152455393282,0.00033452101852491067,0.987248099934704
qwen,68,1.760125584100321,0.0003186287923898518,0.9875667287270938
qwen,69,1.7355963700691028,0.0003141883627320816,0.987880917089826
qwen,70,1.6686276542836107,0.00030206527263477046,0.9881829823624607
qwen,71,1.6198166604215758,0.0002932292053847405,0.9884762115678455
qwen,72,1.5795651688925998,0.00028594263205518827,0.9887621541999007
qwen,73,1.5415167587559897,0.0002790548741112694,0.9890412090740119
qwen,74,1.4760502875873442,0.00026720372960265025,0.9893084128036146
qwen,75,1.4512440827228847,0.00026271315735534206,0.98957112596097
qwen,76,1.4054764241775657,0.00025442801344030715,0.9898255539744103
qwen,77,1.376961270369234,0.0002492660243726897,0.990074819998783
