model,target_cumulative_variance,components_required
qwen,0.5,2
qwen,0.6,3
qwen,0.68,4
qwen,0.7,4
qwen,0.75,5
qwen,0.8,6
qwen,0.9,12
qwen,0.95,25
llama,0.5,3
llama,0.6,4
llama,0.68,6
llama,0.7,7
llama,0.75,9
llama,0.8,13
llama,0.9,29
llama,0.95,53
gemma,0.5,3
gemma,0.6,4
gemma,0.68,5
gemma,0.7,6
gemma,0.75,7
gemma,0.8,10
gemma,0.9,23
gemma,0.95,44
