K,model_family_id,human_profile_id,human_support,12_pearson_r,12_spearman_rho,12_cosine,12_rmse,12_mean_absolute_residual
4,MFamily_A,H04_A,4030.0,0.17059631577800247,-0.09090909090909093,0.40971896209097675,0.6873732564432506,0.6017479976376582
4,MFamily_B,H04_D,2183.0,0.19763635463233192,0.1258741258741259,0.46134991810011355,0.645735248724133,0.5775389978162592
4,MFamily_C,H04_B,4689.0,0.48073606334806784,0.41958041958041964,0.5141562983608686,0.5351568489378414,0.41885538976300835
4,MFamily_D,H04_C,3304.0,0.549997775801165,0.46153846153846156,0.4712621712946319,1.2223196788519666,1.1251137979064165
5,MFamily_A,H05_A,3405.0,0.40546384517800704,0.49650349650349657,0.359530480675305,0.6911879275576668,0.6584386341802395
5,MFamily_B,H05_E,2411.0,0.6767804695185348,0.6853146853146854,0.7988280117760128,0.49030880857668335,0.40664335084057496
5,MFamily_C,H05_D,1730.0,0.20615587114111633,0.22377622377622378,0.32135336996145186,0.5869611792013939,0.48208090060604164
5,MFamily_D,H05_C,2847.0,0.4657695139248504,0.3706293706293707,0.36182562794041695,1.2626003811937196,1.1558837281445666
6,MFamily_A,H06_A,2967.0,0.5658307026853379,0.6223776223776225,0.5662485646704981,0.622680296972637,0.593537259387875
6,MFamily_B,H06_E,2507.0,0.6384842815500652,0.6083916083916086,0.784369142651841,0.5086308374506306,0.43971909752938315
6,MFamily_C,H06_D,1741.0,0.3648564336816248,0.3916083916083916,0.4040270872346512,0.5967468746476131,0.4778672873077583
6,MFamily_D,H06_F,1638.0,0.6503978785853131,0.6153846153846154,0.6398700598836098,1.1479156252689244,1.0498738557613834
7,MFamily_A,H07_B,2794.0,0.5119575820071992,0.5664335664335665,0.4873155824423907,0.6466483620343954,0.6177227934900933
7,MFamily_B,H07_G,2220.0,0.6006592558111156,0.43356643356643365,0.7945583914567843,0.4998248989198342,0.43633099593907504
7,MFamily_C,H07_E,1531.0,0.3498785604016058,0.3356643356643357,0.4007234268444006,0.5898018160909825,0.4693495321295749
7,MFamily_D,H07_A,1371.0,0.7709068255399915,0.6643356643356644,0.6943253275975175,1.1707107808660342,1.0927580974592501
8,MFamily_A,H08_D,1880.0,0.7693487569502238,0.9160839160839163,0.7767616798070327,0.5441709534714682,0.5034900072536083
8,MFamily_B,H08_H,1936.0,0.586846576847693,0.5174825174825175,0.8123725788033233,0.5086183109586501,0.4177636439141708
8,MFamily_C,H08_C,2489.0,0.534098707213548,0.43356643356643365,0.37345047872924697,0.5753608508123991,0.5037986668239917
8,MFamily_D,H08_A,1266.0,0.7660988115340366,0.6643356643356644,0.7297784184716781,1.1193789074978164,1.0349907628287334
10,MFamily_A,H10_C,1940.0,0.7455124297993793,0.7902097902097903,0.747319478249958,0.5469467936205215,0.52008384093225
10,MFamily_B,H10_A,1180.0,0.4689444173893173,0.4895104895104896,0.1471163972842306,0.722972287564068,0.6350198571008251
10,MFamily_C,H10_F,2001.0,0.5680681160357246,0.5734265734265735,0.6289148416545501,0.48982598847272835,0.3698107012198583
10,MFamily_D,H10_J,1049.0,0.8991507949303034,0.6223776223776225,0.9078732100005564,0.906915647865861,0.8139926189150833
