K,model_family_id,human_profile_id,human_support,12_pearson_r,12_spearman_rho,12_cosine,12_rmse,12_mean_absolute_residual,12_mean_signed_residual,45_pearson_r,45_spearman_rho,45_cosine,45_rmse,45_mean_absolute_residual,45_mean_signed_residual
4,MFamily_A,H04_A,4030.0,0.17059631577800247,-0.09090909090909093,0.40971896209097675,0.6873732564432506,0.6017479976376582,-0.4785222642251083,-0.029923692401918656,-0.021146941610338987,0.1705329524855516,0.7882875548932773,0.7292072337067621,-0.22056385638786885
4,MFamily_B,H04_D,2183.0,0.19763635463233192,0.1258741258741259,0.46134991810011355,0.645735248724133,0.5775389978162592,0.47172594800727424,-0.07658183059760833,-0.11060970393694441,0.17967687800058157,0.7367982871442496,0.6508523855603767,0.23957181136709885
4,MFamily_C,H04_B,4689.0,0.48073606334806784,0.41958041958041964,0.5141562983608686,0.5351568489378414,0.41885538976300835,0.16094954176719165,0.10814355789612291,0.10626173463388407,0.10176535615579638,0.8189380876175446,0.67645431928524,-0.06710988696159556
4,MFamily_D,H04_C,3304.0,0.549997775801165,0.46153846153846156,0.4712621712946319,1.2223196788519666,1.1251137979064165,0.4605943282140834,0.44436204386657796,0.40725979138665297,0.389262977593546,1.160968620769429,1.0447625990661333,0.40288798822464894
5,MFamily_A,H05_A,3405.0,0.40546384517800704,0.49650349650349657,0.359530480675305,0.6911879275576668,0.6584386341802395,-0.5106310727382396,0.3677749030083353,0.4224776839473641,0.375935523011184,0.740967112345023,0.6639170335198417,-0.27321092069766384
5,MFamily_B,H05_E,2411.0,0.6767804695185348,0.6853146853146854,0.7988280117760128,0.49030880857668335,0.40664335084057496,0.380008478070575,0.3714144517260985,0.40442702350738635,0.5419035570720374,0.627182201541661,0.5071578456894831,0.19917808313352134
5,MFamily_C,H05_D,1730.0,0.20615587114111633,0.22377622377622378,0.32135336996145186,0.5869611792013939,0.48208090060604164,0.10807856626237504,-0.10498006993420007,-0.0884745874850008,-0.11107795477586767,0.8657734946800137,0.7247489859113199,-0.13976986205703554
5,MFamily_D,H05_C,2847.0,0.4657695139248504,0.3706293706293707,0.36182562794041695,1.2626003811937196,1.1558837281445666,0.49472645833350004,0.3959161260900841,0.3762969796830414,0.3244004005092352,1.1865901773998435,1.059378199271343,0.4300697138547918
6,MFamily_A,H06_A,2967.0,0.5658307026853379,0.6223776223776225,0.5662485646704981,0.622680296972637,0.593537259387875,-0.46969416444420836,0.4816091520993403,0.45607562856192146,0.5280820680196341,0.6948726116014625,0.6306492084183656,-0.23305942955725448
6,MFamily_B,H06_E,2507.0,0.6384842815500652,0.6083916083916086,0.784369142651841,0.5086308374506306,0.43971909752938315,0.3921203631930497,0.3537603132464318,0.37702164123355136,0.5240251997581181,0.6347954218163107,0.5266090293623703,0.20923653724097438
