K,model_family_id,human_profile_id,human_support,45_pearson_r,45_spearman_rho,45_cosine,45_rmse,45_mean_absolute_residual
4,MFamily_A,H04_A,4030.0,-0.029923692401918656,-0.021146941610338987,0.1705329524855516,0.7882875548932773,0.7292072337067621
4,MFamily_B,H04_D,2183.0,-0.07658183059760833,-0.11060970393694441,0.17967687800058157,0.7367982871442496,0.6508523855603767
4,MFamily_C,H04_B,4689.0,0.10814355789612291,0.10626173463388407,0.10176535615579638,0.8189380876175446,0.67645431928524
4,MFamily_D,H04_C,3304.0,0.44436204386657796,0.40725979138665297,0.389262977593546,1.160968620769429,1.0447625990661333
5,MFamily_A,H05_A,3405.0,0.3677749030083353,0.4224776839473641,0.375935523011184,0.740967112345023,0.6639170335198417
5,MFamily_B,H05_E,2411.0,0.3714144517260985,0.40442702350738635,0.5419035570720374,0.627182201541661,0.5071578456894831
5,MFamily_C,H05_D,1730.0,-0.10498006993420007,-0.0884745874850008,-0.11107795477586767,0.8657734946800137,0.7247489859113199
5,MFamily_D,H05_C,2847.0,0.3959161260900841,0.3762969796830414,0.3244004005092352,1.1865901773998435,1.059378199271343
6,MFamily_A,H06_A,2967.0,0.4816091520993403,0.45607562856192146,0.5280820680196341,0.6948726116014625,0.6306492084183656
6,MFamily_B,H06_E,2507.0,0.3537603132464318,0.37702164123355136,0.5240251997581181,0.6347954218163107,0.5266090293623703
6,MFamily_C,H06_D,1741.0,-0.004284500182199059,-0.024045587812379216,-0.01290188916750869,0.9230492448400789,0.7548529021342489
6,MFamily_D,H06_F,1638.0,0.5627667139462322,0.5488981853499826,0.5583948155354249,1.0914409350811562,0.9903071888723911
7,MFamily_A,H07_B,2794.0,0.39029066752633573,0.4157580950244527,0.420273715047399,0.7260488844427252,0.6517208939754671
7,MFamily_B,H07_G,2220.0,0.40615312394707337,0.41786620135320923,0.5598762426502634,0.6181618386384984,0.5171246570672964
7,MFamily_C,H07_E,1531.0,-0.060942855495769305,-0.07556243622136702,-0.06867984730409335,0.9281539533202063,0.761923602081451
7,MFamily_D,H07_A,1371.0,-0.012681700408945723,0.12253368035897355,-0.03895493821781711,1.3202352627568232,1.2336692629283732
8,MFamily_A,H08_D,1880.0,0.21083055547827578,0.18860963810093617,0.2905541577318662,0.7665714629029168,0.6942908572367417
8,MFamily_B,H08_H,1936.0,0.5600358616663758,0.5675417506949232,0.6820504759680304,0.5757450426921352,0.4680774703296416
8,MFamily_C,H08_C,2489.0,0.0933568056810309,0.09690701280002693,0.10043879185368584,0.8030648909942126,0.700696893691244
8,MFamily_D,H08_A,1266.0,0.04713839260909112,0.12938502592743228,0.044296216029759805,1.299386149966349,1.205637188945311
10,MFamily_A,H10_C,1940.0,0.39957193661882967,0.36200138364116113,0.47179417340337854,0.7138730407962522,0.6504394286496318
10,MFamily_B,H10_A,1180.0,-0.3399572385821864,-0.3123291282698353,-0.36346762173183395,0.9151380793950283,0.7681358413882996
10,MFamily_C,H10_F,2001.0,0.29675342066461835,0.2760960507443323,0.277748355946678,0.7768407016948847,0.6295021318843195
10,MFamily_D,H10_J,1049.0,0.6688154425557752,0.6784149679229622,0.7005254053124119,1.0101676975363685,0.9101441742101469
