subset,subset_n_total,n,reps,self_p05,self_p50,self_p95,self_mean,self_std,lu_p05,lu_p50,lu_p95,lu_mean,lu_std,lu_interval_width
all_1200,1200,4,500,0.9865107536315918,0.991701066493988,0.9943690299987793,0.991251528263092,0.002480648923665285,0.9438555836677551,0.9500935077667236,0.954335629940033,0.9497679471969604,0.003290788270533085,0.010480046272277832
all_1200,1200,8,500,0.9932725429534912,0.9959172010421753,0.9972324371337891,0.9956844449043274,0.0012240692740306258,0.9504439830780029,0.9541348218917847,0.9572371244430542,0.9539888501167297,0.0020348255056887865,0.0067931413650512695
all_1200,1200,12,500,0.9955717921257019,0.9972814321517944,0.9980877041816711,0.9970989227294922,0.0008583935559727252,0.9525967240333557,0.9556577205657959,0.9579069018363953,0.9554885625839233,0.0017046454595401883,0.005310177803039551
all_1200,1200,16,500,0.9965915679931641,0.9979751110076904,0.998635470867157,0.9978328943252563,0.0006489803781732917,0.9534523487091064,0.9563366174697876,0.9583768248558044,0.9561949372291565,0.0014957289677113295,0.004924476146697998
all_1200,1200,24,500,0.9978224039077759,0.9986218810081482,0.9990617632865906,0.9985507726669312,0.00040332594653591514,0.9549490809440613,0.9568822383880615,0.9587236046791077,0.9568431377410889,0.0011363484663888812,0.0037745237350463867
all_1200,1200,32,500,0.9983698129653931,0.9990377426147461,0.9993016719818115,0.9989590048789978,0.0002930572663899511,0.955590009689331,0.957226037979126,0.9586250185966492,0.9571713805198669,0.0009479573927819729,0.0030350089073181152
all_1200,1200,48,500,0.9989063739776611,0.9993175268173218,0.9995362758636475,0.9992894530296326,0.00020365125965327024,0.9561951160430908,0.9575326442718506,0.9587514996528625,0.9574998617172241,0.0007716518011875451,0.0025563836097717285
all_1200,1200,64,500,0.9991840720176697,0.9994981288909912,0.9996523261070251,0.9994701147079468,0.00014421617379412055,0.956494152545929,0.9577088356018066,0.9586828947067261,0.9576686024665833,0.0006866173935122788,0.002188742160797119
all_1200,1200,96,500,0.9994868040084839,0.9996834993362427,0.9997738599777222,0.9996652603149414,9.128956298809499e-05,0.9569949507713318,0.9579002857208252,0.9587311148643494,0.9578984975814819,0.0005453830235637724,0.0017361640930175781
all_1200,1200,128,500,0.9996253252029419,0.9997696280479431,0.99983811378479,0.9997552037239075,6.987627421040088e-05,0.957218587398529,0.9579627513885498,0.9587057828903198,0.9579582810401917,0.0004673797229770571,0.0014871954917907715
all_1200,1200,192,500,0.9997709393501282,0.9998555779457092,0.999896228313446,0.9998475313186646,3.970717443735339e-05,0.9574124217033386,0.958071768283844,0.9586267471313477,0.9580564498901367,0.00037032109685242176,0.0012143254280090332
all_1200,1200,256,500,0.9998309016227722,0.9998990297317505,0.9999294281005859,0.9998915791511536,3.412789010326378e-05,0.9575939774513245,0.9581059217453003,0.9585874080657959,0.9581015706062317,0.0003104439820162952,0.0009934306144714355
all_1200,1200,300,500,0.9998639822006226,0.9999171495437622,0.9999421834945679,0.999911367893219,2.567641240602825e-05,0.9576756954193115,0.9581378698348999,0.9585818648338318,0.9581248760223389,0.00027521379524841905,0.0009061694145202637
all_1200,1200,600,500,0.9999568462371826,0.9999719262123108,0.9999808073043823,0.9999703168869019,8.267752491519786e-06,0.9578940868377686,0.9581912159919739,0.9584418535232544,0.9581850171089172,0.00016643870912957937,0.0005477666854858398
all_1200,1200,900,500,0.999984085559845,0.9999908208847046,0.9999935626983643,0.9999902248382568,2.7796179438155377e-06,0.9580545425415039,0.9582028388977051,0.9583433866500854,0.9582011699676514,9.128932288149372e-05,0.00028884410858154297
all_1200,1200,1200,1,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.9582106471061707,0.9582106471061707,0.9582106471061707,0.9582106471061707,0.0,0.0
non_truncated,467,4,500,0.9876915216445923,0.992172360420227,0.9945669174194336,0.9918521642684937,0.002133141504600644,0.939936637878418,0.9462275505065918,0.9513697028160095,0.9459136724472046,0.0034458842128515244,0.011433064937591553
non_truncated,467,8,500,0.9941582083702087,0.9962379932403564,0.9974389672279358,0.9960592985153198,0.001047764322720468,0.9452527165412903,0.9497673511505127,0.9534832239151001,0.9497169852256775,0.002482648938894272,0.008230507373809814
non_truncated,467,12,500,0.9959139227867126,0.9975245594978333,0.9982719421386719,0.9973727464675903,0.0007358791772276163,0.947790801525116,0.9509786367416382,0.9540101289749146,0.9509766697883606,0.0018939485307782888,0.006219327449798584
non_truncated,467,16,500,0.997028112411499,0.9981377720832825,0.9987165331840515,0.9980378150939941,0.0005499725230038166,0.9489917755126953,0.9517188668251038,0.9543321132659912,0.9516368508338928,0.0016414513811469078,0.0053403377532958984
non_truncated,467,24,500,0.998084545135498,0.9987871646881104,0.999169111251831,0.9987215399742126,0.0003613360458984971,0.9499204754829407,0.952328085899353,0.9543092250823975,0.9522407054901123,0.001350829261355102,0.004388749599456787
non_truncated,467,32,500,0.9986094832420349,0.9991196393966675,0.9993817210197449,0.9990688562393188,0.0002580165455583483,0.9507226943969727,0.9526254534721375,0.9543194770812988,0.9525905847549438,0.001128672156482935,0.003596782684326172
non_truncated,467,48,500,0.9991161823272705,0.9994349479675293,0.9996005892753601,0.9994028210639954,0.0001519656361779198,0.9514239430427551,0.9529067277908325,0.9544593691825867,0.9529306888580322,0.0009471452212892473,0.003035426139831543
non_truncated,467,64,500,0.999317467212677,0.9995901584625244,0.9997244477272034,0.9995630979537964,0.00012700402294285595,0.9517125487327576,0.9531657099723816,0.954290509223938,0.953103244304657,0.0007721823058091104,0.00257796049118042
non_truncated,467,96,500,0.9996127486228943,0.9997557997703552,0.9998229742050171,0.9997437596321106,6.375673547154292e-05,0.9522423148155212,0.9531922340393066,0.9541406631469727,0.9532063007354736,0.0005815951735712588,0.001898348331451416
non_truncated,467,116,500,0.9996780157089233,0.9998047351837158,0.9998619556427002,0.9997923374176025,5.888883242732845e-05,0.952353298664093,0.9532400369644165,0.9540500640869141,0.9532243013381958,0.0005282460479065776,0.001696765422821045
non_truncated,467,128,500,0.9997252225875854,0.9998271465301514,0.9998767971992493,0.9998169541358948,4.622546839527786e-05,0.9524458646774292,0.9533429145812988,0.9540756344795227,0.9533254504203796,0.0005132702644914389,0.0016297698020935059
non_truncated,467,192,500,0.9998539090156555,0.9999057650566101,0.9999348521232605,0.9999004006385803,2.963427505164873e-05,0.9527723789215088,0.953399121761322,0.9540555477142334,0.9534128308296204,0.0003806705353781581,0.0012831687927246094
non_truncated,467,233,500,0.9998989105224609,0.9999331831932068,0.9999535083770752,0.9999300241470337,1.78880181920249e-05,0.9529297947883606,0.9534480571746826,0.9539228677749634,0.9534446597099304,0.0003167336981277913,0.0009930729866027832
non_truncated,467,256,500,0.9999182820320129,0.9999452829360962,0.9999611377716064,0.9999432563781738,1.4100959560892079e-05,0.9529664516448975,0.953439474105835,0.953915536403656,0.9534382820129395,0.0002802825183607638,0.0009490847587585449
non_truncated,467,350,500,0.9999626874923706,0.9999778270721436,0.9999839663505554,0.9999762177467346,6.83126381773036e-06,0.9531548619270325,0.9534528851509094,0.9537556767463684,0.9534575343132019,0.00018189658294431865,0.0006008148193359375
non_truncated,467,467,1,1.0000001192092896,1.0000001192092896,1.0000001192092896,1.0000001192092896,0.0,0.9534921050071716,0.9534921050071716,0.9534921050071716,0.9534921050071716,0.0,0.0
truncated,733,4,500,0.9871209859848022,0.9918245077133179,0.9946791529655457,0.991471529006958,0.0023857527412474155,0.9453508853912354,0.9510688185691833,0.9552427530288696,0.9507314562797546,0.00307220290414989,0.009891867637634277
truncated,733,8,500,0.9932146072387695,0.9960086941719055,0.9973670244216919,0.9957435131072998,0.001311869127675891,0.950947105884552,0.9551724791526794,0.9575953483581543,0.9548802375793457,0.0019866987131536007,0.006648242473602295
truncated,733,12,500,0.9956624507904053,0.9972593784332275,0.9980788826942444,0.9971357583999634,0.0007283816230483353,0.9538518786430359,0.9562839865684509,0.9583102464675903,0.9562199711799622,0.0014128476614132524,0.004458367824554443
truncated,733,16,500,0.9967800378799438,0.9980224370956421,0.9985862374305725,0.9979070425033569,0.0005565350875258446,0.9546868205070496,0.9569408893585205,0.9587382674217224,0.9568943977355957,0.0012255579931661487,0.0040514469146728516
truncated,733,24,500,0.9978351593017578,0.9986905455589294,0.999091625213623,0.9986006021499634,0.0003981133340857923,0.955654501914978,0.9576771259307861,0.9590509533882141,0.9575889706611633,0.0010284308809787035,0.003396451473236084
truncated,733,32,500,0.9984263181686401,0.9990217089653015,0.9993427991867065,0.9989668726921082,0.0002942001447081566,0.9565337300300598,0.9580291509628296,0.9593184590339661,0.9579809904098511,0.0008732856949791312,0.00278472900390625
truncated,733,48,500,0.9990215301513672,0.9993675947189331,0.9995648860931396,0.9993379712104797,0.0001799000456230715,0.9572264552116394,0.9582912921905518,0.9593796133995056,0.9583073854446411,0.0006457797717303038,0.002153158187866211
truncated,733,64,500,0.9992508888244629,0.9995293021202087,0.9996805191040039,0.9995040893554688,0.00014168662892188877,0.95745849609375,0.9585011005401611,0.9593721628189087,0.958477258682251,0.000566737144254148,0.0019136667251586914
truncated,733,96,500,0.9995011687278748,0.9997053742408752,0.9997942447662354,0.9996848106384277,9.024225437315181e-05,0.9578282833099365,0.9586877822875977,0.9594070315361023,0.95866858959198,0.00047744641778990626,0.0015787482261657715
truncated,733,128,500,0.9996508955955505,0.9997860193252563,0.9998590350151062,0.9997764229774475,6.718871736666188e-05,0.9581241011619568,0.9587723016738892,0.9593525528907776,0.9587625861167908,0.00037295478978194296,0.0012284517288208008
truncated,733,183,500,0.9997824430465698,0.99986332654953,0.9999080300331116,0.9998575448989868,3.9165977796074e-05,0.9583417773246765,0.9588435888290405,0.9593032598495483,0.9588266611099243,0.00030317174969241023,0.0009614825248718262
truncated,733,192,500,0.9997923374176025,0.9998753070831299,0.9999135136604309,0.9998676776885986,3.7013724067946896e-05,0.958349883556366,0.9588534832000732,0.9593571424484253,0.958857536315918,0.00030831684125587344,0.0010072588920593262
truncated,733,256,500,0.9998686909675598,0.9999157786369324,0.9999430179595947,0.9999126195907593,2.288424911967013e-05,0.9584856629371643,0.9588930606842041,0.9592900276184082,0.9588935971260071,0.00024156297149602324,0.0008043646812438965
truncated,733,366,500,0.999930739402771,0.9999558925628662,0.9999706149101257,0.9999541640281677,1.2536609574453905e-05,0.9586488008499146,0.9589365720748901,0.9592002630233765,0.9589275121688843,0.00017267531075049192,0.0005514621734619141
truncated,733,549,500,0.9999758005142212,0.9999847412109375,0.9999895095825195,0.999984085559845,4.342667125456501e-06,0.9588112235069275,0.9589565992355347,0.9591105580329895,0.9589621424674988,9.410083293914795e-05,0.0002993345260620117
truncated,733,733,1,0.9999997615814209,0.9999997615814209,0.9999997615814209,0.9999997615814209,0.0,0.9589734077453613,0.9589734077453613,0.9589734077453613,0.9589734077453613,0.0,0.0
sp_idx_0,240,4,500,0.9880644679069519,0.9923412799835205,0.9945940375328064,0.9919756054878235,0.0019936710596084595,0.9456561207771301,0.9498341083526611,0.9539424777030945,0.949793815612793,0.0026566567830741405,0.008286356925964355
sp_idx_0,240,8,500,0.9942746758460999,0.9962772130966187,0.9972864389419556,0.9960703253746033,0.0009989725658670068,0.9505730271339417,0.9538329839706421,0.9569838643074036,0.9537627696990967,0.001951489131897688,0.006410837173461914
sp_idx_0,240,12,500,0.9960085153579712,0.9974209070205688,0.9982680678367615,0.9973407983779907,0.0006874600076116621,0.9522762894630432,0.9550249576568604,0.9576651453971863,0.9550077319145203,0.0016559399664402008,0.005388855934143066
sp_idx_0,240,16,500,0.997116208076477,0.9981671571731567,0.9987342357635498,0.9980705976486206,0.0005015343776904047,0.9530359506607056,0.9558244943618774,0.9577890038490295,0.9556839466094971,0.0013968613930046558,0.004753053188323975
sp_idx_0,240,24,500,0.9981430172920227,0.9988175630569458,0.9991766810417175,0.9987612366676331,0.0003315344511065632,0.9545688033103943,0.9562705755233765,0.9579936265945435,0.9562736749649048,0.0010633914498612285,0.00342482328414917
sp_idx_0,240,32,500,0.998665988445282,0.9991326332092285,0.9993896484375,0.9990948438644409,0.00022253947099670768,0.9550632834434509,0.9566638469696045,0.9580486416816711,0.9565878510475159,0.0009105276549234986,0.002985358238220215
sp_idx_0,240,48,500,0.9991888403892517,0.9994684457778931,0.999619722366333,0.9994500279426575,0.00013166920689400285,0.9558696746826172,0.9569607377052307,0.9580487608909607,0.9569370746612549,0.0006851953221485019,0.002179086208343506
sp_idx_0,240,60,500,0.9993662238121033,0.9995992183685303,0.9997225403785706,0.9995811581611633,0.000107751831819769,0.9560343027114868,0.957093358039856,0.9580291509628296,0.957080602645874,0.0006101228063926101,0.0019948482513427734
sp_idx_0,240,64,500,0.9994179606437683,0.9996408224105835,0.9997438192367554,0.9996210932731628,0.00010694243246689439,0.9560540914535522,0.9570493698120117,0.9580039381980896,0.9570335745811462,0.0006167766405269504,0.0019498467445373535
sp_idx_0,240,96,500,0.99970543384552,0.9997982978820801,0.9998588562011719,0.9997916221618652,4.966984852217138e-05,0.9565048217773438,0.9573037624359131,0.9580007791519165,0.9572831988334656,0.0004437813186086714,0.001495957374572754
sp_idx_0,240,120,500,0.9997944831848145,0.9998673796653748,0.999907910823822,0.9998618960380554,3.602248398237862e-05,0.9567154049873352,0.9573302268981934,0.9578917026519775,0.9573103785514832,0.00037661418900825083,0.001176297664642334
