role_or_run,role,layer_key,layer_label,n,pc1,pc2,pc3,distance_to_published_centroid,sparse_warning,centroid_type
amateur,amateur,published,Published centroid,,-0.258632816025379,40.070455881847,-24.428541419933254,0.0,,published
amateur,amateur,all,All responses centroid,60,-1.6212863420477956,38.46016335218537,-16.303681091036857,8.394237429757384,,computed
amateur,amateur,gpt41_ge2,GPT-4.1 score>=2 centroid,59,-2.0173280265791633,38.91357338304852,-16.150239469741198,8.541760306763743,,computed
amateur,amateur,gpt41_eq3,GPT-4.1 score==3 centroid,34,-8.86100626741064,42.1125628007921,-17.27839097244227,11.37082587533803,,computed
amateur,amateur,gpt55_ge2,GPT-5.5 score>=2 centroid,44,-6.069091337567085,40.899834360114696,-17.312947566187855,9.223934777643949,,computed
amateur,amateur,gpt55_eq3,GPT-5.5 score==3 centroid,11,-11.667624663820204,41.084475332266486,-20.064481809901153,12.25717531525071,,computed
editor_matched64_1024,editor,published,Published centroid,,34.6198141862948,-2.1147398337502397,-5.09515845039308,0.0,,published
editor_matched64_1024,editor,all,All responses centroid,64,24.95472136108338,8.081047146042826,-5.964654063422393,14.075656790301062,,computed
editor_matched64_1024,editor,gpt41_ge2,GPT-4.1 score>=2 centroid,36,26.901298419381803,0.9126462962829753,-5.268466495685274,8.29280339227725,,computed
editor_matched64_1024,editor,gpt41_eq3,GPT-4.1 score==3 centroid,2,29.53527012772298,-16.005678433665484,1.2008535667142453,16.07639669794613,sparse centroid n=2,computed
editor_phase1_128,editor,published,Published centroid,,34.6198141862948,-2.1147398337502397,-5.09515845039308,0.0,,published
editor_phase1_128,editor,all,All responses centroid,128,25.50203864754421,8.010257027020103,-4.857667962880239,13.627391310786779,,computed
editor_phase1_128,editor,gpt41_ge2,GPT-4.1 score>=2 centroid,57,27.142704838923006,3.4937815002465284,-2.6614973320552204,9.658435804278097,,computed
editor_phase1_128,editor,gpt41_eq3,GPT-4.1 score==3 centroid,3,21.89402561884856,21.18347399096123,-2.4843900167023563,26.67524271491598,sparse centroid n=3,computed
playwright,playwright,published,Published centroid,,-9.81757782466405,4.585625092149062,4.301204997865276,0.0,,published
playwright,playwright,all,All responses centroid,60,-8.507922491963175,11.929763913080157,4.3104351512242935,7.460003840971534,,computed
playwright,playwright,gpt41_ge2,GPT-4.1 score>=2 centroid,54,-12.175499527079417,12.692661465784065,4.685764117458483,8.451728771951018,,computed
playwright,playwright,gpt41_eq3,GPT-4.1 score==3 centroid,49,-16.035578643527955,12.543904537511244,4.2816265715099595,10.09941232095437,,computed
playwright,playwright,gpt55_ge2,GPT-5.5 score>=2 centroid,54,-12.175499527079417,12.692661465784065,4.685764117458483,8.451728771951018,,computed
playwright,playwright,gpt55_eq3,GPT-5.5 score==3 centroid,40,-19.086568797410102,13.066180600046744,6.5391502598612,12.76097231291846,,computed
trickster_phase1_1200,trickster,published,Published centroid,,-35.02203055935166,19.740619976937417,20.906417185849257,0.0,,published
trickster_phase1_1200,trickster,all,All responses centroid,1200,-41.589259019498776,31.237387320126405,17.642344421772297,13.636653548446995,,computed
trickster_phase1_1200,trickster,gpt41_ge2,GPT-4.1 score>=2 centroid,1200,-41.589259019498776,31.237387320126405,17.642344421772297,13.636653548446995,,computed
trickster_phase1_1200,trickster,gpt41_eq3,GPT-4.1 score==3 centroid,1198,-41.636447243406955,31.224739970547926,17.6557463200853,13.645599333685578,,computed
