model,train_n,validation_n,test_n,alpha,r2,rmse
BigFive,2037,645,673,100,0.46767994846577987,0.6018108133143302
ResidualTraitIndex,2037,645,673,0,0.053757743353352816,0.8023701126739681
BigFive_plus_ResidualTraitIndex,2037,645,673,100,0.5421834945682003,0.558109348433042
