model,persona,residual_trait_hifwb_score,within_model_percentile
Qwen,aberration,0.14388343207353324,86.18181818181819
Qwen,absurdist,0.05385234092026281,68.72727272727272
Qwen,accountant,0.011904745210901613,58.54545454545455
Qwen,activist,-0.06773830643683616,26.545454545454543
Qwen,actor,0.022716400278327983,63.63636363636363
Qwen,addict,-0.15425124855606293,10.181818181818182
Qwen,adolescent,-0.1948743606557155,6.545454545454546
Qwen,advocate,0.07282258269212483,76.0
Qwen,alien,0.08474555081755045,77.81818181818181
Qwen,altruist,0.06400720312219871,72.72727272727273
Qwen,amateur,-0.16154583341969367,9.090909090909092
Qwen,ambassador,0.0775504067384129,76.36363636363637
Qwen,amnesiac,-0.030418596431316915,40.72727272727273
Qwen,analyst,-0.011157756202685092,48.36363636363637
Qwen,anarchist,-0.2571136337688087,2.5454545454545454
Qwen,ancient,0.15268825770556868,87.27272727272727
Qwen,angel,0.38625106864524356,100.0
Qwen,anthropologist,-0.13193576594826203,13.818181818181818
Qwen,archaeologist,-0.03401199277290692,38.18181818181819
Qwen,architect,0.0017302960726266626,54.90909090909091
Qwen,archivist,0.030419570560612157,65.0909090909091
Qwen,artisan,0.04918657477804541,67.63636363636364
Qwen,ascetic,0.1498481009721675,86.9090909090909
Qwen,assistant,-0.0006469434790647477,52.72727272727272
Qwen,auctioneer,0.0636956021469125,72.36363636363636
Qwen,auditor,0.0316552729762392,66.18181818181819
Qwen,avatar,0.26120387921543997,97.81818181818181
Qwen,bard,0.2873621247321376,98.54545454545455
Qwen,bartender,-0.16612315336205216,8.727272727272728
Qwen,biologist,-0.03220823810182843,39.27272727272727
Qwen,blogger,-0.12994308110595787,14.909090909090908
Qwen,bohemian,0.0038839461131003126,56.00000000000001
Qwen,builder,0.012535084005928315,58.909090909090914
Qwen,caregiver,0.0428738981743809,67.27272727272727
Qwen,cartographer,-0.00701490688380227,49.81818181818182
Qwen,caveman,0.18906508685444728,90.9090909090909
Qwen,celebrity,-0.09864812810055709,21.454545454545453
Qwen,chameleon,-0.1478971085868934,10.909090909090908
Qwen,chef,0.0014611840518457618,53.81818181818182
Qwen,chemist,0.000338864479865122,53.090909090909086
Qwen,chimera,0.10991327378847324,83.27272727272728
Qwen,coach,0.001635218526901355,54.18181818181819
Qwen,collaborator,-0.045905396103463385,35.27272727272727
Qwen,collector,0.0161310624016089,61.09090909090909
Qwen,comedian,-0.006654539047263758,50.18181818181818
Qwen,competitor,-0.0403802544380976,36.72727272727273
Qwen,composer,0.01981375787248017,62.909090909090914
Qwen,conservator,0.050327435042306204,68.0
Qwen,consultant,-0.0010120039689652165,51.63636363636363
