model,pearson_r,spearman_rho,top10_overlap,bottom10_overlap
Gemma,0.01516080458858831,0.04199648019387785,0,1
Llama,0.009358986042422412,0.15124260696459998,1,1
Qwen,0.0180195921255513,0.015754883009722744,0,2
