K,fit_status,eligible,solution_status,eligibility_reason,converged_starts,observed_data_log_likelihood,validation_mean_log_likelihood_per_answer,replication_mean_log_likelihood_per_answer,bic,icl,median_start_profile_distance,split_refit_mean_aligned_profile_distance,split_refit_stability_rating,smallest_effective_class_proportion,smallest_map_class_proportion,local_optimum_warning,strong_response_style_warning,strong_missingness_warning,item_centered_between_profile_variance_fraction,replication_balanced_accuracy,max_profile_observation_frequency_range
4,available,True,eligible,eligible under original frozen AA-12 criteria,4,-1866933.163423745,-1.5378664251113674,-1.5383608500576722,3866989.9731852026,3869617.645695011,0.0001015251059547,0.0917209746692898,moderate,0.1543130624659588,0.1536674644516401,False,True,False,0.9902003031797066,0.6935878071299735,0.03373613151615065
5,available,True,eligible,eligible under original frozen AA-12 criteria,5,-1854601.65057241,-1.5308523141156216,-1.5318136422100377,3875610.249421883,3878549.8772681872,0.0323893094766584,0.11127735636924933,moderate,0.1223171729347817,0.1217795297761509,False,True,False,0.9732125640667748,0.5976361069651881,0.03714080009295152
6,available,True,eligible,eligible under original frozen AA-12 criteria,4,-1844078.2415562484,-1.5261699302382907,-1.526968339084378,3887846.7333289105,3890955.96077122,0.0295759312625088,0.11751453104176506,moderate,0.1156993616173391,0.1153033929325637,False,True,False,0.9781872179607664,0.5286850230256028,0.04252623251720189
7,available,True,eligible,eligible under original frozen AA-12 criteria,4,-1835388.3225010212,-1.5227831412739894,-1.5237726927373878,3903750.1971578063,3906688.2473712983,0.0847759494146747,0.1332426581936473,low,0.0965194891702169,0.0960157679853583,True,True,False,0.9713807951959994,0.4598080205821197,0.0442965046552516
8,available,True,eligible,eligible under original frozen AA-12 criteria,4,-1827245.6949685912,-1.5189264832995129,-1.5201629190765602,3920748.2440322977,3923647.128931173,0.0597466992152278,0.1545779797159052,low,0.0852470363712043,0.084893706884415,True,True,False,0.9688521293703041,0.4298011855192676,0.05552418582066096
9,available,False,DIAGNOSTIC / INELIGIBLE,only 3/6 converged monotone starts,3,-1820480.7376563335,-1.5169973878362415,-1.5183702844333369,3940501.631347133,3943300.704231619,0.0954241492774217,0.15829351989339951,low,0.062644175177265,0.0625087990989722,True,True,False,0.974695655947034,0.4127985437269969,0.05336095475386239
10,available,True,eligible,eligible under original frozen AA-12 criteria,4,-1815868.489578574,-1.5165359179408242,-1.51692210086902,3964560.437130964,3967345.6262501385,0.0926237112528977,0.15398661848285214,low,0.054628386520049,0.0546951992116007,True,True,False,0.965138217341906,0.401313410099679,0.06665213498078418
