lower_K,higher_K,lower_profile_id,higher_profile_id,weighted_sqrt_js_distance,expected_score_profile_correlation,lower_profile_nearest_higher,higher_profile_nearest_lower,mutual_nearest
4,5,H04_A,H05_A,0.23533650430573352,0.9005360865355742,False,False,False
4,5,H04_A,H05_B,0.013744313605324701,0.9994413654739451,True,True,True
4,5,H04_A,H05_C,0.23284023288960912,0.7471059147690982,False,False,False
4,5,H04_A,H05_D,0.4067804226550732,0.8959599675436893,False,False,False
4,5,H04_A,H05_E,0.22339636120876205,0.8180924518756635,False,False,False
4,5,H04_B,H05_A,0.06244995340731886,0.9824886723355148,True,True,True
4,5,H04_B,H05_B,0.22309343636782591,0.9032366039554438,False,False,False
4,5,H04_B,H05_C,0.22563512901957145,0.43138406778721844,False,False,False
4,5,H04_B,H05_D,0.2642616661402528,0.9753385944643626,False,False,False
4,5,H04_B,H05_E,0.12674938141523812,0.8946854082134637,False,True,False
4,5,H04_C,H05_A,0.2338616547770267,0.5101045067486968,False,False,False
4,5,H04_C,H05_B,0.23754384385461508,0.779160548999429,False,False,False
4,5,H04_C,H05_C,0.024774688778996364,0.9951404327068492,True,True,True
4,5,H04_C,H05_D,0.2769202465854059,0.5264796137264554,False,False,False
4,5,H04_C,H05_E,0.18808749083811588,0.46667031340645637,False,False,False
4,5,H04_D,H05_A,0.24137715447758468,0.9598831118749536,False,False,False
4,5,H04_D,H05_B,0.3903143198659199,0.8930736242027458,False,False,False
4,5,H04_D,H05_C,0.27146095430026307,0.45220014013754284,False,False,False
4,5,H04_D,H05_D,0.03994290319990895,0.9969884915434634,True,True,True
4,5,H04_D,H05_E,0.23848711877463583,0.898421035749921,False,False,False
5,6,H05_A,H06_A,0.04402117382150574,0.9944269325208118,True,True,True
5,6,H05_A,H06_B,0.24954113493847183,0.9305023781743531,False,False,False
5,6,H05_A,H06_C,0.24419340914751633,0.5060149682441191,False,False,False
5,6,H05_A,H06_D,0.21115989181640132,0.9697419284613582,False,False,False
5,6,H05_A,H06_E,0.16351107881691088,0.8381897875536181,False,False,False
5,6,H05_A,H06_F,0.27330953117851187,0.5207500532106664,False,False,False
5,6,H05_B,H06_A,0.2132717912623453,0.9217311232667116,False,False,False
5,6,H05_B,H06_B,0.03946094535807844,0.989208662630931,True,True,True
5,6,H05_B,H06_C,0.1787701097244302,0.7692603848214281,False,False,False
5,6,H05_B,H06_D,0.39034496960460047,0.8371478712132269,False,False,False
5,6,H05_B,H06_E,0.22200451771431348,0.8288549032304856,False,False,False
5,6,H05_B,H06_F,0.33658710609870546,0.7855529954764404,False,False,False
5,6,H05_C,H06_A,0.23114543553942676,0.5307517052844214,False,False,False
5,6,H05_C,H06_B,0.2644827684344112,0.6482875330620838,False,False,False
5,6,H05_C,H06_C,0.09077523644444879,0.9931274435587238,True,True,True
5,6,H05_C,H06_D,0.3001877129691969,0.32990908658201773,False,False,False
5,6,H05_C,H06_E,0.21276345430188603,0.378415005408813,False,False,False
5,6,H05_C,H06_F,0.1492694104086325,0.9592008917996943,False,True,False
5,6,H05_D,H06_A,0.2858316374145534,0.9502718037183419,False,False,False
5,6,H05_D,H06_B,0.4244645547677697,0.930243271220111,False,False,False
5,6,H05_D,H06_C,0.3469968716073888,0.5007772573411843,False,False,False
5,6,H05_D,H06_D,0.10146965863629503,0.9794877427390876,True,True,True
5,6,H05_D,H06_E,0.27519201633574986,0.8944155278760404,False,False,False
5,6,H05_D,H06_F,0.1858786848927054,0.5737127144284925,False,False,False
5,6,H05_E,H06_A,0.19103433634156108,0.7634796736602475,False,False,False
5,6,H05_E,H06_B,0.23792620170541734,0.8663549636669341,False,False,False
5,6,H05_E,H06_C,0.21495824079795267,0.3994012248757724,False,False,False
5,6,H05_E,H06_D,0.24138815489983828,0.852414270349978,False,False,False
5,6,H05_E,H06_E,0.036132780178546986,0.9950225054501636,True,True,True
5,6,H05_E,H06_F,0.23168282486202213,0.5509532175914379,False,False,False
6,7,H06_A,H07_A,0.19762608380912305,0.7047161856397306,False,False,False
6,7,H06_A,H07_B,0.03381472915736084,0.9976200816316728,True,True,True
6,7,H06_A,H07_C,0.22183368995699537,0.9435221570456753,False,False,False
6,7,H06_A,H07_D,0.23584423400787874,0.5363323406379157,False,False,False
6,7,H06_A,H07_E,0.2671821659976506,0.9309594566519159,False,False,False
6,7,H06_A,H07_F,0.2798525791335807,0.5316453949005915,False,False,False
6,7,H06_A,H07_G,0.18162117331077443,0.7911682815463964,False,False,False
6,7,H06_B,H07_A,0.23555966654968624,0.7440830954933411,False,False,False
6,7,H06_B,H07_B,0.24506940436734018,0.9277496119400025,False,False,False
