k,profile,status,replication_stability_rating,aligned_profile_distance,mean_aligned_profile_distance,discovery_prior_proportion,replication_prior_proportion,replication_best_seed,replication_converged_starts,replication_refit_seconds,profile_id
4,Profile A,completed,moderate,0.07861545882165188,0.0917209746692898,0.28351521110634165,0.29280526630521053,2026100304,4,2.093276023864746,H04_A
4,Profile B,completed,moderate,0.07726708670869872,0.0917209746692898,0.3292254345288764,0.3405918843672786,2026100304,4,2.0932791233062744,H04_B
4,Profile C,completed,moderate,0.10224669051330454,0.0917209746692898,0.23292573072888775,0.1801696073539016,2026100304,4,2.0932791233062744,H04_C
4,Profile D,completed,moderate,0.1087546626335041,0.0917209746692898,0.15433362363589423,0.1864332419736092,2026100304,4,2.093280076980591,H04_D
5,Profile A,completed,moderate,0.09719032708112793,0.11127735636924933,0.23964137869719138,0.26604233543033884,2026100401,5,1.884505033493042,H05_A
5,Profile B,completed,moderate,0.0844665128048523,0.11127735636924933,0.2669813064202665,0.31816944816019277,2026100401,5,1.884507179260254,H05_B
5,Profile C,completed,moderate,0.11401650472940972,0.11127735636924933,0.20009333389620274,0.15580111885412676,2026100401,5,1.884507179260254,H05_C
5,Profile D,completed,moderate,0.13445914994693903,0.11127735636924933,0.12232847968844594,0.11951975947456744,2026100401,5,1.8845081329345703,H05_D
5,Profile E,completed,moderate,0.12625428728391774,0.11127735636924933,0.17095550129789333,0.14046733808077425,2026100401,5,1.8845081329345703,H05_E
6,Profile A,completed,moderate,0.09419007141581524,0.11751453104176506,0.20829014672346552,0.269576218130108,2026100504,1,2.1989641189575195,H06_A
6,Profile B,completed,moderate,0.09026250789969571,0.11751453104176506,0.2025421592240201,0.2873433004826898,2026100504,1,2.1989660263061523,H06_B
6,Profile C,completed,moderate,0.12811922535696732,0.11751453104176506,0.1746047598159871,0.13008704081840852,2026100504,1,2.1989660263061523,H06_C
6,Profile D,completed,moderate,0.11067383445209858,0.11751453104176506,0.12217811319052539,0.12917468418522857,2026100504,1,2.1989669799804688,H06_D
6,Profile E,completed,moderate,0.13857775548571258,0.11751453104176506,0.1766678389061038,0.1108965041818888,2026100504,1,2.198967933654785,H06_E
6,Profile F,completed,moderate,0.14326379164030095,0.11751453104176506,0.11571698213989813,0.07292225220167632,2026100504,1,2.198967933654785,H06_F
7,Profile A,completed,low,0.13932704675169383,0.1332426581936473,0.09758139141838511,0.10494227751494724,2026100601,4,2.2968931198120117,H07_A
7,Profile B,completed,low,0.10676680041029994,0.1332426581936473,0.19591311903608308,0.1956901973940579,2026100601,4,2.296894073486328,H07_B
