K,profile_id,prior_proportion,effective_discovery_n,map_discovery_n,map_discovery_proportion
4,H04_A,0.28351521110634165,4027.8382093247437,4030,0.28368295086583134
4,H04_B,0.3292254345288764,4676.819338756237,4689,0.3300718006476137
4,H04_C,0.23292573072888775,3309.1710865275927,3304,0.23257778403491483
4,H04_D,0.15433362363589423,2192.171365391427,2183,0.15366746445164015
5,H05_A,0.23964137869719138,3403.881361845267,3405,0.23968745600450514
5,H05_B,0.2669813064202665,3792.8988000831905,3813,0.2684077150499789
5,H05_C,0.20009333389620274,2842.6799981033896,2847,0.2004082781923131
5,H05_D,0.12232847968844594,1737.6377587115135,1730,0.12177952977615092
5,H05_E,0.17095550129789333,2428.902081256639,2411,0.16971702097705196
6,H06_A,0.20829014672346552,2959.052370318684,2967,0.20885541320568773
6,H06_B,0.2025421592240201,2877.3723328331944,2874,0.2023088835703224
6,H06_C,0.1746047598159871,2480.3962987396467,2479,0.17450373081796425
6,H06_D,0.12217811319052539,1735.9637320830002,1741,0.12255385048571027
6,H06_E,0.1766678389061038,2509.590134889543,2507,0.17647472898775166
6,H06_F,0.11571698213989813,1643.625131135932,1638,0.11530339293256371
7,H07_A,0.09758139141838511,1386.1021062114237,1371,0.09650851752780515
7,H07_B,0.19591311903608308,2783.2070903922922,2794,0.19667746022807264
7,H07_C,0.20476101127837915,2908.917573876859,2925,0.20589891595100662
7,H07_D,0.14079856136941357,2000.2909629486267,2001,0.14085597634802197
7,H07_E,0.107758254545294,1530.7337705116931,1531,0.10777136421230465
7,H07_F,0.09652012495810372,1371.1558631521157,1364,0.0960157679853583
7,H07_G,0.1566675373943414,2225.5926329069903,2220,0.15627199774743067
8,H08_A,0.08924952345861677,1267.8350068740965,1266,0.08911727439110236
8,H08_B,0.15801440929815913,2244.611883723019,2247,0.15817260312543996
8,H08_C,0.17575891224535567,2497.3818468818627,2489,0.17520765873574545
8,H08_D,0.13243504516010388,1881.3150649980632,1880,0.13233844854286922
8,H08_E,0.13594304474436691,1931.5793674504202,1945,0.13691398000844712
8,H08_F,0.08526926806793406,1211.0193986893362,1206,0.08489370688441504
8,H08_G,0.08720408278315915,1238.7132085621515,1237,0.08707588342953682
8,H08_H,0.13612571424230438,1933.5442228210509,1936,0.13628044488244404
9,H09_A,0.08304251939750028,1179.7114984668024,1172,0.08250035196395888
9,H09_B,0.14137869616362655,2008.1129873110092,2017,0.1419822610164719
9,H09_C,0.10783726002905568,1532.0286249637938,1523,0.10720822187807968
9,H09_D,0.13017026263204762,1849.3150344327792,1847,0.1300154864141912
9,H09_E,0.08571134290408539,1217.6793937399732,1218,0.0857384203857525
9,H09_F,0.1752768468665305,2490.025572873667,2508,0.17654512177952977
9,H09_G,0.100601616042866,1429.2769639261955,1422,0.10009854990848938
9,H09_H,0.06265786074100467,889.9231525682355,888,0.06250879909897226
9,H09_I,0.11332359522328328,1609.926771717545,1611,0.11340278755455441
10,H10_A,0.08303673899304277,1179.7198652359912,1180,0.08306349429818387
10,H10_B,0.08455212980503503,1201.1551437641751,1203,0.08468252850908067
10,H10_C,0.13627943608522552,1936.0749718820095,1940,0.13656201604955653
10,H10_D,0.1329725181374471,1889.1625468694579,1890,0.13304237646065042
10,H10_E,0.10687210335106381,1518.4807912271665,1518,0.10685625791918907
10,H10_F,0.14054460297374305,1996.3356266985447,2001,0.14085597634802197
10,H10_G,0.08201346804455464,1165.1167294736397,1157,0.08144446008728706
10,H10_H,0.054634043090898796,776.0508589038254,777,0.05469519921160073
10,H10_I,0.10509806748784967,1492.8932043317154,1491,0.10495565254117978
10,H10_J,0.07399689203113949,1051.0102616134739,1049,0.07384203857524989
