model_key,model,pc,positive,negative,total,display
qwen,Qwen/Qwen3-32B,PC1,12,48,60,12 / 48 (60)
qwen,Qwen/Qwen3-32B,PC2,3,10,13,3 / 10 (13)
qwen,Qwen/Qwen3-32B,PC3,7,8,15,7 / 8 (15)
qwen,Qwen/Qwen3-32B,PC4,0,0,0,0 / 0 (0)
qwen,Qwen/Qwen3-32B,PC5,0,0,0,0 / 0 (0)
qwen,Qwen/Qwen3-32B,PC6,0,0,0,0 / 0 (0)
llama,Llama-3.3-70B,PC1,4,33,37,4 / 33 (37)
llama,Llama-3.3-70B,PC2,40,42,82,40 / 42 (82)
llama,Llama-3.3-70B,PC3,1,2,3,1 / 2 (3)
llama,Llama-3.3-70B,PC4,0,0,0,0 / 0 (0)
llama,Llama-3.3-70B,PC5,0,0,0,0 / 0 (0)
llama,Llama-3.3-70B,PC6,0,0,0,0 / 0 (0)
gemma,Gemma-2-27B,PC1,13,52,65,13 / 52 (65)
gemma,Gemma-2-27B,PC2,9,16,25,9 / 16 (25)
gemma,Gemma-2-27B,PC3,1,0,1,1 / 0 (1)
gemma,Gemma-2-27B,PC4,0,1,1,0 / 1 (1)
gemma,Gemma-2-27B,PC5,0,0,0,0 / 0 (0)
gemma,Gemma-2-27B,PC6,0,0,0,0 / 0 (0)
