pc,model_key,model,explained_variance_percent,cumulative_variance_percent
PC1,qwen,Qwen/Qwen3-32B,31.59544226021735,31.59544226021735
PC2,qwen,Qwen/Qwen3-32B,16.163486947770032,47.758929207987386
PC3,qwen,Qwen/Qwen3-32B,8.69036311438695,56.44929232237433
PC4,qwen,Qwen/Qwen3-32B,4.52017616087677,60.96946848325111
PC5,qwen,Qwen/Qwen3-32B,3.61481106267834,64.58427954592946
PC6,qwen,Qwen/Qwen3-32B,2.8236384215063097,67.40791796743576
PC1,llama,Llama-3.3-70B,17.2319543652528,17.2319543652528
PC2,llama,Llama-3.3-70B,14.158889459870942,31.39084382512375
PC3,llama,Llama-3.3-70B,6.478991769540291,37.86983559466404
PC4,llama,Llama-3.3-70B,5.25181778738597,43.12165338205001
PC5,llama,Llama-3.3-70B,3.7109896445746795,46.8326430266247
PC6,llama,Llama-3.3-70B,3.1095022893075903,49.9421453159323
PC1,gemma,Gemma-2-27B,23.45308958500722,23.45308958500722
PC2,gemma,Gemma-2-27B,12.78198481518453,36.23507440019175
PC3,gemma,Gemma-2-27B,5.68600223834088,41.921076638532625
PC4,gemma,Gemma-2-27B,5.32702730482327,47.2481039433559
PC5,gemma,Gemma-2-27B,3.87365519156597,51.12175913492189
PC6,gemma,Gemma-2-27B,3.15902394597228,54.28078308089417
