model_key,model,pc,positive,negative,total,display
qwen,Qwen/Qwen3-32B,PC1,35,95,130,35 / 95 (130)
qwen,Qwen/Qwen3-32B,PC2,12,23,35,12 / 23 (35)
qwen,Qwen/Qwen3-32B,PC3,18,18,36,18 / 18 (36)
qwen,Qwen/Qwen3-32B,PC4,0,1,1,0 / 1 (1)
qwen,Qwen/Qwen3-32B,PC5,0,0,0,0 / 0 (0)
qwen,Qwen/Qwen3-32B,PC6,0,0,0,0 / 0 (0)
llama,Llama-3.3-70B,PC1,9,58,67,9 / 58 (67)
llama,Llama-3.3-70B,PC2,64,58,122,64 / 58 (122)
llama,Llama-3.3-70B,PC3,9,5,14,9 / 5 (14)
llama,Llama-3.3-70B,PC4,1,0,1,1 / 0 (1)
llama,Llama-3.3-70B,PC5,0,0,0,0 / 0 (0)
llama,Llama-3.3-70B,PC6,1,0,1,1 / 0 (1)
gemma,Gemma-2-27B,PC1,29,83,112,29 / 83 (112)
gemma,Gemma-2-27B,PC2,18,33,51,18 / 33 (51)
gemma,Gemma-2-27B,PC3,5,2,7,5 / 2 (7)
gemma,Gemma-2-27B,PC4,1,1,2,1 / 1 (2)
gemma,Gemma-2-27B,PC5,0,0,0,0 / 0 (0)
gemma,Gemma-2-27B,PC6,0,1,1,0 / 1 (1)
