prompt_id,component,family,target_pc,off_axis,mean_off_axis_delta_bare,abs_mean_off_axis_delta_bare,target_axis_delta_bare,off_axis_to_target_abs_ratio
pc1_pair_04B,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC2,3.5309651525955417,3.5309651525955417,-5.7190109426324565,0.6174083574964492
pc2_pair_01B,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC3,3.399069686241488,3.399069686241488,10.969377344664284,0.30986897245307643
pc1_pos_r2_01,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC2,-3.3102418152417563,3.3102418152417563,8.586819901312035,0.38550264862729655
pc2_neg_r2_04,pc2_negative_replacement_family,pc2_negative_replacement_integrative_coherence,PC2,PC3,-2.5995608752519854,2.5995608752519854,-20.570063801686523,0.12637592670173067
pc2_pair_04A,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC3,-2.5855397526342356,2.5855397526342356,2.571654612810311,1.0053993019722602
pc2_pair_03B,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC1,2.3671299110909367,2.3671299110909367,-18.79107039981657,0.12597099902908768
pc1_pos_r2_08,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC2,-1.9313186345576248,1.9313186345576248,11.36629324374861,0.1699163124811748
pc2_neg_r2_01,pc2_negative_replacement_family,pc2_negative_replacement_integrative_coherence,PC2,PC1,-1.512646741668587,1.512646741668587,-19.243493019086458,0.07860562217931046
pc1_pos_r2_04,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC2,1.424904664873822,1.424904664873822,-0.7076351354545729,2.0136149174623355
pc2_pair_02A,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC3,1.3065880854125094,1.3065880854125094,19.2232715420796,0.067969080213653
pc2_neg_r2_05,pc2_negative_replacement_family,pc2_negative_replacement_integrative_coherence,PC2,PC1,1.0804124744570962,1.0804124744570962,-12.65249114657397,0.0853912847628875
pc1_pair_03A,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC2,1.0255075162025635,1.0255075162025635,-3.291844380033455,0.3115297680602476
pc3_pair_04B,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC2,0.8844986686631326,0.8844986686631326,-3.1878447088097293,0.2774597728109245
pc2_neg_r2_05,pc2_negative_replacement_family,pc2_negative_replacement_integrative_coherence,PC2,PC3,-0.49333213031891543,0.49333213031891543,-12.65249114657397,0.03899090895253939
pc1_pos_r2_02,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC2,-0.005373012795707943,0.005373012795707943,3.3418190879422225,0.0016078107923594548
