role,neighbor_rank,neighbor_role,standardized_native_pc_distance,model,model_label,k
aberration,1,demon,0.428584500987,gemma,Gemma 2 27B,10
aberration,2,zealot,0.628889011336,gemma,Gemma 2 27B,10
aberration,3,vampire,0.920386733361,gemma,Gemma 2 27B,10
aberration,4,void,1.29858742604,gemma,Gemma 2 27B,10
aberration,5,parasite,1.34612718684,gemma,Gemma 2 27B,10
aberration,6,simulacrum,1.39870396175,gemma,Gemma 2 27B,10
aberration,7,alien,1.48730360903,gemma,Gemma 2 27B,10
aberration,8,predator,1.49569605826,gemma,Gemma 2 27B,10
aberration,9,purist,1.53860962943,gemma,Gemma 2 27B,10
aberration,10,eldritch,1.59415017827,gemma,Gemma 2 27B,10
absurdist,1,provocateur,0.68537600372,gemma,Gemma 2 27B,10
absurdist,2,rebel,0.838667920965,gemma,Gemma 2 27B,10
absurdist,3,zealot,1.02294366117,gemma,Gemma 2 27B,10
absurdist,4,hacker,1.21465286989,gemma,Gemma 2 27B,10
absurdist,5,workaholic,1.25017328635,gemma,Gemma 2 27B,10
absurdist,6,demon,1.27727985532,gemma,Gemma 2 27B,10
absurdist,7,narcissist,1.29467917629,gemma,Gemma 2 27B,10
absurdist,8,parasite,1.29510247284,gemma,Gemma 2 27B,10
absurdist,9,maverick,1.33793713324,gemma,Gemma 2 27B,10
absurdist,10,contrarian,1.34012910162,gemma,Gemma 2 27B,10
accountant,1,scheduler,0.1393201159,gemma,Gemma 2 27B,10
accountant,2,debugger,0.19062708421,gemma,Gemma 2 27B,10
accountant,3,programmer,0.216372862518,gemma,Gemma 2 27B,10
accountant,4,statistician,0.2228779104,gemma,Gemma 2 27B,10
accountant,5,economist,0.238604117635,gemma,Gemma 2 27B,10
accountant,6,lawyer,0.241221580231,gemma,Gemma 2 27B,10
accountant,7,screener,0.249523936409,gemma,Gemma 2 27B,10
accountant,8,journalist,0.252307454442,gemma,Gemma 2 27B,10
accountant,9,secretary,0.27965954199,gemma,Gemma 2 27B,10
accountant,10,linguist,0.282016616097,gemma,Gemma 2 27B,10
activist,1,navigator,0.296211184421,gemma,Gemma 2 27B,10
activist,2,altruist,0.369284053898,gemma,Gemma 2 27B,10
activist,3,advocate,0.37510162491,gemma,Gemma 2 27B,10
activist,4,scout,0.377264044075,gemma,Gemma 2 27B,10
activist,5,reporter,0.404553212151,gemma,Gemma 2 27B,10
activist,6,cartographer,0.411045504744,gemma,Gemma 2 27B,10
activist,7,pilot,0.423138637949,gemma,Gemma 2 27B,10
activist,8,librarian,0.43872286053,gemma,Gemma 2 27B,10
activist,9,geographer,0.480211220145,gemma,Gemma 2 27B,10
activist,10,builder,0.482499328632,gemma,Gemma 2 27B,10
actor,1,loner,0.277406162735,gemma,Gemma 2 27B,10
actor,2,witness,0.711135996121,gemma,Gemma 2 27B,10
actor,3,playwright,0.720145505231,gemma,Gemma 2 27B,10
actor,4,chameleon,0.747992457481,gemma,Gemma 2 27B,10
actor,5,soldier,0.802428918254,gemma,Gemma 2 27B,10
actor,6,photographer,0.816555121269,gemma,Gemma 2 27B,10
actor,7,evangelist,0.823787863407,gemma,Gemma 2 27B,10
actor,8,novelist,0.87376330376,gemma,Gemma 2 27B,10
actor,9,survivor,0.887079219614,gemma,Gemma 2 27B,10
actor,10,addict,0.911368762529,gemma,Gemma 2 27B,10
addict,1,celebrity,0.481295564373,gemma,Gemma 2 27B,10
addict,2,divorcee,0.504066360589,gemma,Gemma 2 27B,10
addict,3,bartender,0.50825509895,gemma,Gemma 2 27B,10
addict,4,veteran,0.52632611625,gemma,Gemma 2 27B,10
addict,5,retiree,0.540077439765,gemma,Gemma 2 27B,10
addict,6,improviser,0.542875916731,gemma,Gemma 2 27B,10
addict,7,orphan,0.640060867086,gemma,Gemma 2 27B,10
addict,8,auctioneer,0.694974926543,gemma,Gemma 2 27B,10
addict,9,mechanic,0.697247687103,gemma,Gemma 2 27B,10
addict,10,graduate,0.752912109868,gemma,Gemma 2 27B,10
adolescent,1,teenager,0.0999167554325,gemma,Gemma 2 27B,10
adolescent,2,prisoner,1.37992074345,gemma,Gemma 2 27B,10
adolescent,3,mechanic,1.41871325764,gemma,Gemma 2 27B,10
adolescent,4,procrastinator,1.42773679332,gemma,Gemma 2 27B,10
adolescent,5,auctioneer,1.42814250896,gemma,Gemma 2 27B,10
adolescent,6,hoarder,1.46599508736,gemma,Gemma 2 27B,10
adolescent,7,improviser,1.46967477597,gemma,Gemma 2 27B,10
adolescent,8,newlywed,1.54445361121,gemma,Gemma 2 27B,10
adolescent,9,criminal,1.57032584746,gemma,Gemma 2 27B,10
adolescent,10,bartender,1.61578362885,gemma,Gemma 2 27B,10
advocate,1,navigator,0.122914119932,gemma,Gemma 2 27B,10
advocate,2,guardian,0.208208216405,gemma,Gemma 2 27B,10
advocate,3,curator,0.213676484362,gemma,Gemma 2 27B,10
advocate,4,altruist,0.261057476122,gemma,Gemma 2 27B,10
advocate,5,cartographer,0.28419645851,gemma,Gemma 2 27B,10
advocate,6,conservator,0.314397570088,gemma,Gemma 2 27B,10
advocate,7,synthesizer,0.334392212267,gemma,Gemma 2 27B,10
advocate,8,architect,0.348932315171,gemma,Gemma 2 27B,10
advocate,9,geographer,0.367445986144,gemma,Gemma 2 27B,10
advocate,10,activist,0.37510162491,gemma,Gemma 2 27B,10
alien,1,purist,0.248731488637,gemma,Gemma 2 27B,10
alien,2,stoic,0.424923509005,gemma,Gemma 2 27B,10
alien,3,predator,0.576650173373,gemma,Gemma 2 27B,10
alien,4,simulacrum,0.599467245965,gemma,Gemma 2 27B,10
alien,5,crystalline,0.602651407784,gemma,Gemma 2 27B,10
alien,6,chimera,0.788745075041,gemma,Gemma 2 27B,10
alien,7,philosopher,0.798050435645,gemma,Gemma 2 27B,10
alien,8,vampire,0.816908741049,gemma,Gemma 2 27B,10
alien,9,virtuoso,0.820496152852,gemma,Gemma 2 27B,10
alien,10,hive,0.850592289097,gemma,Gemma 2 27B,10
altruist,1,navigator,0.216441135131,gemma,Gemma 2 27B,10
altruist,2,guide,0.257845946833,gemma,Gemma 2 27B,10
altruist,3,advocate,0.261057476122,gemma,Gemma 2 27B,10
altruist,4,interpreter,0.35762582064,gemma,Gemma 2 27B,10
altruist,5,activist,0.369284053898,gemma,Gemma 2 27B,10
altruist,6,curator,0.408992004692,gemma,Gemma 2 27B,10
altruist,7,guardian,0.413806124866,gemma,Gemma 2 27B,10
altruist,8,architect,0.479771847206,gemma,Gemma 2 27B,10
altruist,9,minimalist,0.482621165325,gemma,Gemma 2 27B,10
altruist,10,writer,0.497224719739,gemma,Gemma 2 27B,10
amateur,1,newlywed,0.356939218918,gemma,Gemma 2 27B,10
amateur,2,parent,0.547593787917,gemma,Gemma 2 27B,10
amateur,3,patient,0.736604981576,gemma,Gemma 2 27B,10
amateur,4,retiree,0.764197869122,gemma,Gemma 2 27B,10
amateur,5,bartender,0.802379400892,gemma,Gemma 2 27B,10
amateur,6,mechanic,0.853635971126,gemma,Gemma 2 27B,10
amateur,7,divorcee,0.860990832708,gemma,Gemma 2 27B,10
amateur,8,orphan,0.970371148297,gemma,Gemma 2 27B,10
amateur,9,grandparent,1.03319015721,gemma,Gemma 2 27B,10
amateur,10,influencer,1.07983224318,gemma,Gemma 2 27B,10
ambassador,1,anthropologist,0.0754693117195,gemma,Gemma 2 27B,10
ambassador,2,generalist,0.177687804729,gemma,Gemma 2 27B,10
ambassador,3,architect,0.203604295237,gemma,Gemma 2 27B,10
ambassador,4,designer,0.227411215337,gemma,Gemma 2 27B,10
ambassador,5,geographer,0.2352836487,gemma,Gemma 2 27B,10
ambassador,6,synthesizer,0.254677273395,gemma,Gemma 2 27B,10
ambassador,7,conservator,0.28596136658,gemma,Gemma 2 27B,10
