model,model_label,opaque_role_id,role,display_aligned_x,display_aligned_y,display_aligned_z
qwen,Qwen 3 32B,R001,aberration,-1.59659611423,-0.760226876479,1.97555535415
qwen,Qwen 3 32B,R002,absurdist,-1.14518203259,0.677577593839,2.12148155893
qwen,Qwen 3 32B,R003,accountant,1.40709592312,-0.187513380218,0.466485447258
qwen,Qwen 3 32B,R004,activist,0.450279656838,0.195797809778,-0.52371360518
qwen,Qwen 3 32B,R005,actor,-0.795674752403,0.999146256496,0.0179786007926
qwen,Qwen 3 32B,R006,addict,-0.664882344749,1.80040139661,-1.03401649988
qwen,Qwen 3 32B,R007,adolescent,-0.514576551143,3.63585336449,-0.459385972903
qwen,Qwen 3 32B,R008,advocate,0.450757330818,0.125780864717,-0.720838638143
qwen,Qwen 3 32B,R009,alien,-0.681540924317,-1.05972227557,0.783854844759
qwen,Qwen 3 32B,R010,altruist,0.378193753389,-0.182259517029,-1.57142729847
qwen,Qwen 3 32B,R011,amateur,-0.00861394661031,1.86589637742,-1.55134845247
qwen,Qwen 3 32B,R012,ambassador,0.988758384502,-0.391889083303,-0.56988572246
qwen,Qwen 3 32B,R013,amnesiac,-1.41246361148,0.634810790782,-0.681587859418
qwen,Qwen 3 32B,R014,analyst,1.41618374947,-0.306780865188,0.460714407965
qwen,Qwen 3 32B,R015,anarchist,0.23414643647,-0.19893221965,0.601038709161
qwen,Qwen 3 32B,R016,ancient,-1.26593200239,-1.52699948847,0.210137522474
qwen,Qwen 3 32B,R017,angel,-1.34765408405,-1.34365042587,-1.94232974374
qwen,Qwen 3 32B,R018,anthropologist,1.06235131274,-0.940472319888,0.0608991520099
qwen,Qwen 3 32B,R019,archaeologist,0.522142726374,-0.907168569784,0.120777521432
qwen,Qwen 3 32B,R020,architect,1.03152089177,-0.439039461756,-0.138573839296
qwen,Qwen 3 32B,R021,archivist,0.89474448234,-0.826101981585,-0.0942333320432
qwen,Qwen 3 32B,R022,artisan,-0.459693363035,-0.566916191191,-0.951843347653
qwen,Qwen 3 32B,R023,ascetic,-1.34686832305,-1.87895393846,-0.290771175871
qwen,Qwen 3 32B,R024,assistant,1.12249538761,0.160264939237,-0.327405120803
qwen,Qwen 3 32B,R025,auctioneer,-0.331706573381,0.778799379667,0.802496608363
qwen,Qwen 3 32B,R026,auditor,1.60383645665,-0.572502782798,0.864257265011
qwen,Qwen 3 32B,R027,avatar,-1.26611242916,-1.64920282245,-0.824460833706
qwen,Qwen 3 32B,R028,bard,-1.81009521227,-1.1296558474,-0.181934497409
qwen,Qwen 3 32B,R029,bartender,-0.552845125186,1.69148999644,-0.176435812378
qwen,Qwen 3 32B,R030,biologist,1.07373079646,-0.752407421082,0.276089253849
qwen,Qwen 3 32B,R031,blogger,-0.0107141196761,0.970815896363,-0.913930546583
qwen,Qwen 3 32B,R032,bohemian,-1.41720529395,0.125594972723,-0.409309516001
qwen,Qwen 3 32B,R033,builder,0.482671538835,-0.00662683693316,-0.15453597842
qwen,Qwen 3 32B,R034,caregiver,0.0447832362772,0.680638564315,-2.75426932703
qwen,Qwen 3 32B,R035,cartographer,0.738057560914,-0.71309525361,0.151143726808
qwen,Qwen 3 32B,R036,caveman,-1.8298846536,0.721267618253,0.0255717245022
qwen,Qwen 3 32B,R037,celebrity,-0.231487345789,1.54884564914,-0.667469447999
qwen,Qwen 3 32B,R038,chameleon,-0.0213042977977,0.739479052308,-0.355951168366
qwen,Qwen 3 32B,R039,chef,0.14925301538,0.569625209173,-0.552662830275
qwen,Qwen 3 32B,R040,chemist,0.979798816574,-0.52020017547,0.537470913179
qwen,Qwen 3 32B,R041,chimera,-1.24277378192,-0.761950214949,0.591662353949
qwen,Qwen 3 32B,R042,coach,0.8277751815,0.544777985632,-0.942419907411
qwen,Qwen 3 32B,R043,collaborator,0.856618644696,0.450329247099,-1.12230582992
qwen,Qwen 3 32B,R044,collector,0.391735218513,-0.602480717033,0.0760475199954
qwen,Qwen 3 32B,R045,comedian,-0.800313231639,2.63577109211,1.98645594254
qwen,Qwen 3 32B,R046,competitor,-0.190708168564,1.29998054984,1.63001167636
qwen,Qwen 3 32B,R047,composer,0.0590923804331,-0.8187483561,-0.311236199966
qwen,Qwen 3 32B,R048,conservator,0.783472045425,-0.783259541676,-0.392758878677
qwen,Qwen 3 32B,R049,consultant,1.36642003912,-0.125312167034,0.220451376474
qwen,Qwen 3 32B,R050,contrarian,-0.119457282774,0.64884635218,1.65644403924
qwen,Qwen 3 32B,R051,coordinator,1.31178870338,-0.100382208733,-0.202885772662
qwen,Qwen 3 32B,R052,coral_reef,-1.08705940131,-0.92812193593,-0.688286406632
qwen,Qwen 3 32B,R053,cosmopolitan,0.293076314762,0.00825397337977,-0.496953349218
qwen,Qwen 3 32B,R054,counselor,0.36143854177,0.603953215317,-2.29682689644
qwen,Qwen 3 32B,R055,criminal,-1.25081896029,1.74312562784,1.71412443121
qwen,Qwen 3 32B,R056,critic,0.853405232168,-0.687828996094,0.431998714284
