model,model_label,trait,pc1,pc2,pc3,landmark_type
qwen,Qwen 3 32B,absolutist,10.5039176024,14.582413786,1.04468937379,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,abstract,31.8762269387,11.2032013179,-32.6222696359,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,accessible,-8.707469126,-73.6682341624,57.0360114944,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,accommodating,8.21553813166,-27.9092380422,23.3192151939,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,acerbic,-61.6916986927,55.4197646884,9.44527081494,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,adaptable,7.27452920195,-44.0342857869,16.1354881079,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,adventurous,-41.5749395763,-7.42483192168,-10.9365316292,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,agreeable,59.4769275282,-52.5699874664,19.7662756472,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,altruistic,32.8570526852,-35.8047449323,3.79888460792,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,analytical,57.5528534229,30.769949817,14.7379933388,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,animated,-66.436025132,-39.2672287633,-13.8103386732,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,anthropocentric,13.1659256108,7.25458409746,20.5755244009,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,anxious,-42.5611577857,4.3412777826,29.1550947281,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,arrogant,-22.5757624087,35.1037048798,-1.98907806928,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,artistic,-25.0512921285,-52.0714344307,-37.5777160762,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,ascetic,26.5715371996,1.58813502957,-6.70962839865,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,assertive,-16.6761531687,17.5703924626,3.83743897505,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,avoidant,19.9099166066,1.03567684211,51.9093436163,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,benevolent,27.9866979535,-66.2643417719,14.3546544817,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,big_picture,26.5597010888,-6.69966322254,-16.9194918163,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,bitter,-70.3715125262,35.4470959675,8.84913194595,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,blunt,-18.2283753259,47.2898946138,28.1765781693,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,bombastic,-22.552912696,40.7742428509,-74.3161978102,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,calculating,47.5175604736,1.29560922958,-8.21716183559,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,callous,-11.2145022177,75.5011423062,15.2699553896,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,calm,96.155756899,-21.8270885303,21.6263125892,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,casual,-72.6476643266,-48.4175684549,51.0404985153,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,cautious,34.0954826883,10.950613956,11.853256315,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,challenging,-12.0344889225,28.8800533465,-14.502913875,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,chaotic,-13.5350411033,-3.74977694693,-5.78404105556,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,charismatic,-37.9938742372,-30.3261767799,-32.2132337839,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,chill,37.8304142214,-54.8378589167,27.3687315036,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,circumspect,38.5280053849,-26.7660440357,-6.29974223185,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,closure_seeking,9.01334712996,15.6669018559,24.7157701,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,collaborative,17.9460145968,-23.2024206167,17.2449155856,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,collectivistic,29.8000043194,-18.0845967268,8.43031389298,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,competitive,-31.7446738194,41.1732098002,-0.687915057458,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,conceptual,32.7247110408,10.4148697816,-31.9889728994,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,conciliatory,63.1999946855,-45.4394415007,30.2724046551,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,concise,-5.03908594672,-1.0695327492,52.2639633128,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,condescending,-38.2454530443,28.9836058644,-4.62465168527,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,confident,-3.6226167623,23.4381796508,6.12413102821,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,confrontational,-14.8988761172,38.9690219708,2.30811685723,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,conscientious,94.6509852567,4.00239958595,-18.4210151003,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,constructivist,5.90752242125,-23.0717364739,-6.68646047151,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,contemporary,3.76214631909,-5.50618233961,37.825010758,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,contrarian,-25.6940380518,18.6329769188,-10.6428216216,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,convergent,16.7502589988,10.4244874755,24.5712505201,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,cosmopolitan,22.3436577506,-8.91832489492,4.40138696793,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,creative,-26.9697426551,-15.9913279915,-29.38799659,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,critical,-3.65042082574,20.9153533056,-14.7147576364,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,cruel,-44.864963884,55.4189031369,15.6477928973,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,cryptic,-26.8324270716,2.91264346637,-68.7834401751,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,curious,7.08923313573,-27.7253643656,-18.6142984983,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,cynical,-11.849215391,48.253085331,5.06460564987,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,data_driven,47.6564666622,48.1149793862,29.0528840777,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,decisive,7.89061613534,17.894100156,14.9279644645,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,deconstructionist,-6.6073228331,15.8876252405,-27.9000967332,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,deferential,22.260731851,-21.2883999246,19.4641346136,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,deontological,15.725937587,1.91288642489,2.06670397565,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,descriptive,49.4904311608,7.5140997822,27.2736783233,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,detached,70.0717222886,69.2048526903,21.801309769,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,deterministic,13.1866687155,30.202098711,-5.38977670724,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,diplomatic,73.9554208423,-35.5609311035,20.7285597697,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,disorganized,-54.3873148542,-5.19299367569,12.7431004599,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,dispassionate,83.523497145,60.1611484597,28.9672076122,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,divergent,12.0171220002,-12.5797900465,-13.5873024099,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,dogmatic,-2.38352969147,23.9070200755,4.60137647324,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,dominant,2.70381810624,28.5427460249,4.86707689326,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,dramatic,-57.8617723,-11.2377775783,-59.6112334591,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,earnest,81.214826295,-37.0057676964,-20.4100151644,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,eclectic,3.33268968096,-5.68400945635,-23.8384577584,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,edgy,-77.481726193,29.9570761335,2.57632534137,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,educational,47.8394039341,1.35390966727,-15.8910797428,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,efficient,-9.94138615513,-2.90841657112,53.7098172944,trait-direction landmark; excluded from occupancy density
