model,model_label,consensus_family_id,role_count,envelope_eligible,median_density_percentile,median_sparsity_percentile,native_centroid_pc1,native_centroid_pc2,native_centroid_pc3,native_mean_radius_from_family_centroid
qwen,Qwen 3 32B,MFamily_A,102,True,81.5693430657,18.4306569343,32.0674052645,-4.33355420513,1.54825011117,13.8730671323
qwen,Qwen 3 32B,MFamily_B,53,True,37.2262773723,62.7737226277,-42.620792465,-20.3322549906,-2.19946724666,20.3001543725
qwen,Qwen 3 32B,MFamily_C,49,True,22.9927007299,77.0072992701,-9.08124361987,27.9346910008,-14.897726938,24.5470883164
qwen,Qwen 3 32B,MFamily_D,29,True,24.4525547445,75.5474452555,-18.0218213149,22.8698114176,25.9530604072,19.6567307418
qwen,Qwen 3 32B,MFamily_E,0,False,,,,,,
llama,LLaMA 3.3 70B,MFamily_A,111,True,79.9270072993,20.0729927007,0.630265183613,-0.809098282192,0.265171724227,0.445639311438
llama,LLaMA 3.3 70B,MFamily_B,39,True,20.802919708,79.197080292,-2.29211026193,0.111560452635,0.115133951262,0.881054262185
llama,LLaMA 3.3 70B,MFamily_C,38,True,39.9635036496,60.0364963504,0.935907452869,0.843379450757,-0.700208093731,1.06184442659
llama,LLaMA 3.3 70B,MFamily_D,38,True,23.1751824818,76.8248175182,0.190366520798,1.14161412388,-0.190534236963,1.07127778602
llama,LLaMA 3.3 70B,MFamily_E,3,False,0.36496350365,99.6350364964,1.08042853372,4.13880921055,3.48819077099,0.825603047804
gemma,Gemma 2 27B,MFamily_A,112,True,79.7445255474,20.2554744526,496.784864817,-146.053811138,-14.2405591771,222.158823451
gemma,Gemma 2 27B,MFamily_B,49,True,40.5109489051,59.4890510949,-816.427297375,-309.815108408,-15.9175132845,328.985620395
gemma,Gemma 2 27B,MFamily_C,29,True,26.2773722628,73.7226277372,24.8217095851,617.229039411,-169.85087454,380.888220663
gemma,Gemma 2 27B,MFamily_D,22,True,12.9562043796,87.0437956204,-138.635134761,580.684694895,348.826890678,368.611092196
gemma,Gemma 2 27B,MFamily_E,4,False,0.547445255474,99.4525547445,-589.407070398,945.907066915,-891.481893802,410.339291341
