model,model_label,opaque_role_id,role,native_pc1,native_pc2,native_pc3,kde_density,log_kde_density,within_model_density_percentile,density_rank_1_is_densest,scott_factor
qwen,Qwen 3 32B,R001,aberration,-47.9376257834,-16.3260071046,31.1083801872,7.16837806586e-07,-14.1484162331,6.93430656934,256,0.448253718429
qwen,Qwen 3 32B,R002,absurdist,-34.3839667671,14.5510990905,33.4062291682,1.11349232857e-06,-13.7080092397,15.3284671533,233,0.448253718429
qwen,Qwen 3 32B,R003,accountant,42.2479030249,-4.02688312182,7.34558341511,8.19697643989e-06,-11.7117451985,89.7810218978,29,0.448253718429
qwen,Qwen 3 32B,R004,activist,13.5195980343,4.20479271702,-8.24673523063,5.86973530412e-06,-12.0457010181,75.1824817518,69,0.448253718429
qwen,Qwen 3 32B,R005,actor,-23.8900484513,21.4568431961,0.283102747546,1.27795389852e-06,-13.5702502758,21.1678832117,217,0.448253718429
qwen,Qwen 3 32B,R006,addict,-19.9630205464,38.6639395444,-16.2822966871,1.11053808282e-06,-13.7106659008,14.598540146,235,0.448253718429
qwen,Qwen 3 32B,R007,adolescent,-15.4501053371,78.0805963278,-7.23379047198,5.440649388e-07,-14.4241972244,2.9197080292,267,0.448253718429
qwen,Qwen 3 32B,R008,advocate,13.5339401439,2.70116639457,-11.3507942776,5.43557850467e-06,-12.1225446025,72.2627737226,77,0.448253718429
qwen,Qwen 3 32B,R009,alien,-20.4631925976,-22.7577239574,12.3430884744,1.43147998163e-06,-13.4568016967,26.2773722628,203,0.448253718429
qwen,Qwen 3 32B,R010,altruist,11.3552265736,-3.91405547732,-24.7447168385,1.43261350313e-06,-13.4560101572,26.6423357664,202,0.448253718429
qwen,Qwen 3 32B,R011,amateur,-0.258632816054,40.0704558818,-24.4285422633,1.11184754318e-06,-13.709487473,14.9635036496,234,0.448253718429
qwen,Qwen 3 32B,R012,ambassador,29.6873636383,-8.41588762008,-8.97379143555,6.0135881146e-06,-12.0214889635,75.9124087591,67,0.448253718429
qwen,Qwen 3 32B,R013,amnesiac,-42.409067288,13.6326744042,-10.7327259736,8.9836323571e-07,-13.9226913563,10.2189781022,247,0.448253718429
qwen,Qwen 3 32B,R014,analyst,42.520764029,-6.58817353026,7.25470887494,8.49238791277e-06,-11.6763403354,93.4306569343,19,0.448253718429
qwen,Qwen 3 32B,R015,anarchist,7.0302214505,-4.27210472535,9.46434663677,3.31930612694e-06,-12.6157547948,59.1240875912,113,0.448253718429
qwen,Qwen 3 32B,R016,ancient,-38.0094715608,-32.7925850411,3.3089621746,2.12375779115e-06,-13.0623234954,46.7153284672,147,0.448253718429
qwen,Qwen 3 32B,R017,angel,-40.463168231,-28.8551313793,-30.5851881043,9.34633112355e-07,-13.8831117779,11.3138686131,244,0.448253718429
qwen,Qwen 3 32B,R018,anthropologist,31.8969833554,-20.1968099934,0.958957677304,5.23037162633e-06,-12.1610282258,71.1678832117,80,0.448253718429
qwen,Qwen 3 32B,R019,archaeologist,15.6772789307,-19.4816060489,1.90184144772,4.15266281188e-06,-12.3917607881,64.2335766423,99,0.448253718429
qwen,Qwen 3 32B,R020,architect,30.9713032975,-9.42845036605,-2.18207384964,8.60863777195e-06,-11.6627444667,94.8905109489,15,0.448253718429
qwen,Qwen 3 32B,R021,archivist,26.864606386,-17.7406866789,-1.48385936813,5.53474929314e-06,-12.1044642877,73.7226277372,73,0.448253718429
qwen,Qwen 3 32B,R022,artisan,-13.8022435455,-12.1746258274,-14.9883447585,1.59889533373e-06,-13.3461975836,35.401459854,178,0.448253718429
qwen,Qwen 3 32B,R023,ascetic,-40.4395758419,-40.3508693228,-4.57867215286,1.6878406108e-06,-13.2920605911,39.4160583942,167,0.448253718429
qwen,Qwen 3 32B,R024,assistant,33.7028027033,3.44171801544,-5.15553408907,7.92598740384e-06,-11.7453636524,86.8613138686,37,0.448253718429
qwen,Qwen 3 32B,R025,auctioneer,-9.9594540178,16.724854907,12.6366338151,1.41485352325e-06,-13.4684845494,25.9124087591,204,0.448253718429
qwen,Qwen 3 32B,R026,auditor,48.1550162821,-12.2945988737,13.6091573051,4.76174835766e-06,-12.2548956551,68.2481751825,88,0.448253718429
qwen,Qwen 3 32B,R027,avatar,-38.0148888552,-35.416923328,-12.9824968005,2.1089708637e-06,-13.0693104718,45.9854014599,149,0.448253718429
qwen,Qwen 3 32B,R028,bard,-54.3479131289,-24.2595598248,-2.86485898898,2.53088078325e-06,-12.8869431801,52.5547445255,131,0.448253718429
qwen,Qwen 3 32B,R029,bartender,-16.599115137,36.3250478949,-2.77827311625,1.31996274899e-06,-13.5379070422,21.897810219,215,0.448253718429
qwen,Qwen 3 32B,R030,biologist,32.2386511242,-16.1580829121,4.34748105452,7.65973977689e-06,-11.7795325465,85.0364963504,42,0.448253718429
qwen,Qwen 3 32B,R031,blogger,-0.321690285385,20.8484436839,-14.3913451213,2.12300481763e-06,-13.062678106,46.3503649635,148,0.448253718429
qwen,Qwen 3 32B,R032,bohemian,-42.5514357917,2.697174331,-6.44525399465,1.37349958409e-06,-13.4981486342,24.0875912409,209,0.448253718429
qwen,Qwen 3 32B,R033,builder,14.4921607906,-0.142312499333,-2.43342407956,6.58889133855e-06,-11.9301254575,78.8321167883,59,0.448253718429
qwen,Qwen 3 32B,R034,caregiver,1.34461182944,14.6168339748,-43.3705171475,6.0609711176e-07,-14.3162256133,3.28467153285,266,0.448253718429
qwen,Qwen 3 32B,R035,cartographer,22.1600985036,-15.3138471381,2.3800074782,6.5522971473e-06,-11.9356948603,78.4671532847,60,0.448253718429
qwen,Qwen 3 32B,R036,caveman,-54.9420889662,15.4893501193,0.402669014657,4.90134140724e-07,-14.5285867267,1.82481751825,270,0.448253718429
qwen,Qwen 3 32B,R037,celebrity,-6.95038254018,33.261735219,-10.5104082799,1.45774994949e-06,-13.4386164415,29.197080292,195,0.448253718429
qwen,Qwen 3 32B,R038,chameleon,-0.639659238992,15.880443898,-5.60503873017,2.53024050316e-06,-12.8871961992,52.1897810219,132,0.448253718429
qwen,Qwen 3 32B,R039,chef,4.48130565682,12.2328024694,-8.70258856751,3.38967283843e-06,-12.5947771491,59.8540145985,111,0.448253718429
qwen,Qwen 3 32B,R040,chemist,29.4183535795,-11.1713910982,8.46336675488,8.39019228418e-06,-11.6884471195,92.3357664234,22,0.448253718429
qwen,Qwen 3 32B,R041,chimera,-37.3141484939,-16.3630161041,9.31670044599,1.60914443773e-06,-13.3398079254,36.1313868613,176,0.448253718429
qwen,Qwen 3 32B,R042,coach,24.8538603658,11.6992039337,-14.8399571362,4.05849447923e-06,-12.414698471,63.503649635,101,0.448253718429
qwen,Qwen 3 32B,R043,collaborator,25.7198822311,9.6709005101,-17.6725579317,3.49390337457e-06,-12.5644910013,60.2189781022,110,0.448253718429
qwen,Qwen 3 32B,R044,collector,11.7618076005,-12.9383803322,1.19749373731,5.05533482112e-06,-12.1950664721,70.0729927007,83,0.448253718429
qwen,Qwen 3 32B,R045,comedian,-24.0293182891,56.6036520243,31.2800279455,6.66484581969e-07,-14.2212488304,5.47445255474,260,0.448253718429
qwen,Qwen 3 32B,R046,competitor,-5.72599215104,27.9173130406,25.6672245762,1.6020023806e-06,-13.3442562233,35.7664233577,177,0.448253718429
qwen,Qwen 3 32B,R047,composer,1.77424233631,-17.5827662664,-4.90092773975,2.87780991403e-06,-12.7584809996,55.8394160584,122,0.448253718429
qwen,Qwen 3 32B,R048,conservator,23.523663493,-16.8206376777,-6.18463688913,4.36300370444e-06,-12.3423498148,65.6934306569,95,0.448253718429
qwen,Qwen 3 32B,R049,consultant,41.0266140038,-2.69110102862,3.47137083136,8.8659050234e-06,-11.6332975342,96.7153284672,10,0.448253718429
qwen,Qwen 3 32B,R050,contrarian,-3.58669200538,13.9340905764,26.0834457629,1.77753770578e-06,-13.2402814627,40.1459854015,165,0.448253718429
qwen,Qwen 3 32B,R051,coordinator,39.3863140523,-2.15572574932,-3.19477140304,8.2175973921e-06,-11.7092326797,90.1459854015,28,0.448253718429
qwen,Qwen 3 32B,R052,coral_reef,-32.6388410445,-19.9315833059,-10.8382056571,2.46457561583e-06,-12.9134909293,51.0948905109,135,0.448253718429
qwen,Qwen 3 32B,R053,cosmopolitan,8.79958467757,0.177255543323,-7.82535082618,5.36890716529e-06,-12.1348861775,71.897810219,78,0.448253718429
qwen,Qwen 3 32B,R054,counselor,10.8521531555,12.9700024942,-36.1673309576,9.91718228873e-07,-13.8238268135,11.6788321168,243,0.448253718429
qwen,Qwen 3 32B,R055,criminal,-37.5557041051,37.4339322442,26.99171875,1.06750939897e-06,-13.7501822872,13.8686131387,237,0.448253718429
qwen,Qwen 3 32B,R056,critic,25.6233998672,-14.7712497735,6.80253287568,7.22832066888e-06,-11.8375038214,82.4817518248,49,0.448253718429
qwen,Qwen 3 32B,R057,crystalline,-10.3352044844,-44.008002697,8.55267283169,6.20469838241e-07,-14.2927888423,4.3795620438,263,0.448253718429
qwen,Qwen 3 32B,R058,curator,20.1673904004,-8.79154175031,-4.62558961171,7.00652497351e-06,-11.868668704,81.3868613139,52,0.448253718429
qwen,Qwen 3 32B,R059,cyborg,16.71541533,-10.1732490743,10.1010601796,4.97647163938e-06,-12.2107894242,69.3430656934,85,0.448253718429
