model,model_label,source_model_label,opaque_role_id,role,legacy_qwen_cluster,native_pc1,native_pc2,native_pc3,display_aligned_x,display_aligned_y,display_aligned_z,consensus_family_id,membership_category
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R001,aberration,mythic_spiritual,-47.9376257834,-16.3260071046,31.1083801872,-1.59659611423,-0.760226876479,1.97555535415,MFamily_B,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R002,absurdist,trickster_chaos,-34.3839667671,14.5510990905,33.4062291682,-1.14518203259,0.677577593839,2.12148155893,MFamily_D,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R003,accountant,editorial,42.2479030249,-4.02688312182,7.34558341511,1.40709592312,-0.187513380218,0.466485447258,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R004,activist,procedural_professional,13.5195980343,4.20479271702,-8.24673523063,0.450279656838,0.195797809778,-0.52371360518,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R005,actor,grounded_social,-23.8900484513,21.4568431961,0.283102747546,-0.795674752403,0.999146256496,0.0179786007926,MFamily_C,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R006,addict,grounded_social,-19.9630205464,38.6639395444,-16.2822966871,-0.664882344749,1.80040139661,-1.03401649988,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R007,adolescent,other,-15.4501053371,78.0805963278,-7.23379047198,-0.514576551143,3.63585336449,-0.459385972903,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R008,advocate,procedural_professional,13.5339401439,2.70116639457,-11.3507942776,0.450757330818,0.125780864717,-0.720838638143,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R009,alien,mythic_spiritual,-20.4631925976,-22.7577239574,12.3430884744,-0.681540924317,-1.05972227557,0.783854844759,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R010,altruist,procedural_professional,11.3552265736,-3.91405547732,-24.7447168385,0.378193753389,-0.182259517029,-1.57142729847,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R011,amateur,grounded_social,-0.258632816054,40.0704558818,-24.4285422633,-0.00861394661031,1.86589637742,-1.55134845247,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R012,ambassador,procedural_professional,29.6873636383,-8.41588762008,-8.97379143555,0.988758384502,-0.391889083303,-0.56988572246,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R013,amnesiac,grounded_social,-42.409067288,13.6326744042,-10.7327259736,-1.41246361148,0.634810790782,-0.681587859418,MFamily_B,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R014,analyst,procedural_professional,42.520764029,-6.58817353026,7.25470887494,1.41618374947,-0.306780865188,0.460714407965,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R015,anarchist,procedural_professional,7.0302214505,-4.27210472535,9.46434663677,0.23414643647,-0.19893221965,0.601038709161,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R016,ancient,mythic_spiritual,-38.0094715608,-32.7925850411,3.3089621746,-1.26593200239,-1.52699948847,0.210137522474,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R017,angel,mythic_spiritual,-40.463168231,-28.8551313793,-30.5851881043,-1.34765408405,-1.34365042587,-1.94232974374,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R018,anthropologist,procedural_professional,31.8969833554,-20.1968099934,0.958957677304,1.06235131274,-0.940472319888,0.0608991520099,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R019,archaeologist,procedural_professional,15.6772789307,-19.4816060489,1.90184144772,0.522142726374,-0.907168569784,0.120777521432,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R020,architect,procedural_professional,30.9713032975,-9.42845036605,-2.18207384964,1.03152089177,-0.439039461756,-0.138573839296,MFamily_A,core
