model,model_label,target_sample_coverage_fraction,target_sample_coverage_percent,density_threshold,achieved_role_count,achieved_sample_fraction,achieved_sample_percent,total_sampled_roles,kde_method,scott_factor,grid_resolution_per_axis,grid_extent_pc1_min,grid_extent_pc1_max,grid_extent_pc2_min,grid_extent_pc2_max,grid_extent_pc3_min,grid_extent_pc3_max
qwen,Qwen 3 32B,0.5,50,2.31104540863e-06,138,0.501818181818,50.1818181818,275,scipy gaussian_kde full-covariance Scott,0.448253718429,36,-74.4221795999,61.638323165,-53.6518811544,87.7577331301,-50.4418806304,43.4349935712
qwen,Qwen 3 32B,0.8,80,1.23566240195e-06,220,0.8,80,275,scipy gaussian_kde full-covariance Scott,0.448253718429,36,-74.4221795999,61.638323165,-53.6518811544,87.7577331301,-50.4418806304,43.4349935712
qwen,Qwen 3 32B,0.95,95,6.5081632246e-07,261,0.949090909091,94.9090909091,275,scipy gaussian_kde full-covariance Scott,0.448253718429,36,-74.4221795999,61.638323165,-53.6518811544,87.7577331301,-50.4418806304,43.4349935712
llama,LLaMA 3.3 70B,0.5,50,0.0377275249468,138,0.501818181818,50.1818181818,275,scipy gaussian_kde full-covariance Scott,0.448253718429,36,-4.26820896836,2.73545699346,-1.7627664383,4.70276292253,-1.93628793194,4.6256093981
llama,LLaMA 3.3 70B,0.8,80,0.015195888891,220,0.8,80,275,scipy gaussian_kde full-covariance Scott,0.448253718429,36,-4.26820896836,2.73545699346,-1.7627664383,4.70276292253,-1.93628793194,4.6256093981
llama,LLaMA 3.3 70B,0.95,95,0.00665140183486,261,0.949090909091,94.9090909091,275,scipy gaussian_kde full-covariance Scott,0.448253718429,36,-4.26820896836,2.73545699346,-1.7627664383,4.70276292253,-1.93628793194,4.6256093981
gemma,Gemma 2 27B,0.5,50,5.67361042002e-10,138,0.501818181818,50.1818181818,275,scipy gaussian_kde full-covariance Scott,0.448253718429,36,-1447.21374901,986.435245345,-741.01245003,1520.39670559,-1192.79317077,942.979180713
gemma,Gemma 2 27B,0.8,80,2.46910813685e-10,220,0.8,80,275,scipy gaussian_kde full-covariance Scott,0.448253718429,36,-1447.21374901,986.435245345,-741.01245003,1520.39670559,-1192.79317077,942.979180713
gemma,Gemma 2 27B,0.95,95,1.04247977889e-10,261,0.949090909091,94.9090909091,275,scipy gaussian_kde full-covariance Scott,0.448253718429,36,-1447.21374901,986.435245345,-741.01245003,1520.39670559,-1192.79317077,942.979180713
