opaque_role_id,role,qwen_llama_neighbor_jaccard_k10,qwen_gemma_neighbor_jaccard_k10,llama_gemma_neighbor_jaccard_k10,mean_pairwise_neighbor_jaccard_k10
R001,aberration,0.25,0.538461538462,0.176470588235,0.321644042232
R002,absurdist,0.25,0.176470588235,0.111111111111,0.179193899782
R003,accountant,0.0526315789474,0.0526315789474,0.176470588235,0.09391124871
R004,activist,0,0.111111111111,0.0526315789474,0.0545808966862
R005,actor,0.176470588235,0.111111111111,0.0526315789474,0.113404426098
R006,addict,0.538461538462,0.333333333333,0.428571428571,0.433455433455
R007,adolescent,0.111111111111,0.333333333333,0.176470588235,0.20697167756
R008,advocate,0.111111111111,0.111111111111,0.0526315789474,0.0916179337232
R009,alien,0.25,0.333333333333,0.176470588235,0.253267973856
R010,altruist,0.176470588235,0.111111111111,0.0526315789474,0.113404426098
R011,amateur,0.538461538462,0.428571428571,0.538461538462,0.501831501832
R012,ambassador,0.176470588235,0.176470588235,0.25,0.200980392157
R013,amnesiac,0.0526315789474,0.333333333333,0.111111111111,0.165692007797
R014,analyst,0.25,0.538461538462,0.333333333333,0.373931623932
R015,anarchist,0,0.428571428571,0.0526315789474,0.160401002506
R016,ancient,0.176470588235,0.428571428571,0.25,0.285014005602
R017,angel,0.25,0.428571428571,0.25,0.309523809524
R018,anthropologist,0.176470588235,0.176470588235,0.25,0.200980392157
R019,archaeologist,0.0526315789474,0.176470588235,0.25,0.159700722394
R020,architect,0.111111111111,0.333333333333,0.176470588235,0.20697167756
R021,archivist,0.25,0.333333333333,0.111111111111,0.231481481481
R022,artisan,0.111111111111,0.176470588235,0.25,0.179193899782
R023,ascetic,0.0526315789474,0.176470588235,0.0526315789474,0.09391124871
R024,assistant,0.176470588235,0.111111111111,0.111111111111,0.132897603486
R025,auctioneer,0.176470588235,0.0526315789474,0.0526315789474,0.09391124871
R026,auditor,0.25,0.428571428571,0.25,0.309523809524
R027,avatar,0.0526315789474,0.333333333333,0.25,0.211988304094
R028,bard,0.428571428571,0.111111111111,0.333333333333,0.291005291005
R029,bartender,0.111111111111,0.176470588235,0.333333333333,0.20697167756
R030,biologist,0.428571428571,0.25,0.176470588235,0.285014005602
R031,blogger,0.176470588235,0.25,0.333333333333,0.253267973856
R032,bohemian,0.176470588235,0.333333333333,0.111111111111,0.20697167756
R033,builder,0.0526315789474,0.0526315789474,0.176470588235,0.09391124871
R034,caregiver,0.111111111111,0.428571428571,0.176470588235,0.238717709306
