layer,raw_cosine_proofreader_poet,centered_cosine_proofreader_poet
0,0.9961955547332764,-0.32672202587127686
1,0.997411847114563,-0.2914767265319824
2,0.9970206618309021,-0.4434269070625305
3,0.9961667656898499,-0.38083788752555847
4,0.994528591632843,-0.42200225591659546
5,0.9946705102920532,-0.32094407081604004
6,0.9943147897720337,-0.4632526636123657
7,0.992517352104187,-0.5278708338737488
8,0.9910953044891357,-0.5297689437866211
9,0.991695761680603,-0.5247803330421448
10,0.988758385181427,-0.49569249153137207
11,0.9862000942230225,-0.5140209794044495
12,0.9875620007514954,-0.46197351813316345
13,0.9891722798347473,-0.393038809299469
14,0.9873983263969421,-0.4181119501590729
15,0.984398603439331,-0.3989875614643097
16,0.984369695186615,-0.42435574531555176
17,0.9856783151626587,-0.4463962912559509
18,0.9864981174468994,-0.4922008514404297
19,0.9897386431694031,-0.49235913157463074
20,0.9907222390174866,-0.5061489343643188
21,0.9900420904159546,-0.5343775749206543
22,0.9873939752578735,-0.5107643008232117
23,0.9879542589187622,-0.42719900608062744
24,0.9866244792938232,-0.33854150772094727
25,0.9880467653274536,-0.19126155972480774
26,0.988068163394928,-0.19050081074237823
27,0.9890404939651489,-0.1282888948917389
28,0.9872209429740906,-0.19518186151981354
29,0.9861279726028442,-0.1693997085094452
30,0.9874988198280334,-0.1318843513727188
31,0.9893600940704346,-0.0936480164527893
32,0.9907775521278381,-0.09360159933567047
33,0.9899644255638123,-0.17355334758758545
34,0.9890931248664856,-0.21162322163581848
35,0.9891788959503174,-0.20153379440307617
36,0.9896891713142395,-0.2075725495815277
37,0.9897140860557556,-0.19481272995471954
38,0.990115761756897,-0.2159695029258728
39,0.9900718927383423,-0.19082823395729065
40,0.9902593493461609,-0.21601977944374084
41,0.9903325438499451,-0.22579583525657654
42,0.9892329573631287,-0.2464759647846222
43,0.9851195812225342,-0.28364384174346924
44,0.9906007647514343,-0.3281540274620056
45,0.9955112338066101,-0.3136206567287445
