turn,phase,base_valence,instruct_valence,base_axis,instruct_axis,valence_delta_instruct_minus_base
1,expressive,1.06026291847229,-1.3168420791625977,-0.6963681578636169,0.6781197786331177,-2.3771049976348877
2,expressive,1.0727152228355408,-0.6056413054466248,-0.7050504088401794,0.1329011023044586,-1.6783565282821655
3,expressive,1.0724090039730072,-0.4715880304574966,-0.7068454623222351,0.0530290380120277,-1.5439970344305038
4,expressive,1.079324096441269,-0.240977481007576,-0.710379958152771,-0.1014367341995239,-1.320301577448845
5,perturbation,1.0824589431285858,-0.1242077350616455,-0.7118926644325256,-0.1705384999513626,-1.2066666781902313
6,perturbation,1.0832577049732208,-0.1848409473896026,-0.712277889251709,-0.141790434718132,-1.2680986523628235
7,perturbation,1.0818229019641876,-0.1849920004606247,-0.7122650146484375,-0.1438624113798141,-1.2668149024248123
8,perturbation,1.0843122899532318,-0.1583859324455261,-0.7135018110275269,-0.1620659828186035,-1.242698222398758
9,neutral_redirect,1.085274577140808,-0.1446914374828338,-0.7138556241989136,-0.1704532206058502,-1.229966014623642
10,neutral_redirect,1.0886825323104858,-0.1655808389186859,-0.715214729309082,-0.1569133549928665,-1.2542633712291718
11,neutral_redirect,1.0909043550491333,-0.0856558382511138,-0.7158573269844055,-0.1936759948730468,-1.1765601933002472
12,neutral_redirect,1.091660976409912,-0.0892619490623474,-0.7162968516349792,-0.1927949488162994,-1.1809229254722595
