coverage_threshold_pct,minimum_recorded_n,items_meeting_threshold,pct_of_696_items
100,23679,0,0.0
99,23443,0,0.0
95,22496,0,0.0
90,21312,0,0.0
80,18944,0,0.0
70,16576,0,0.0
60,14208,0,0.0
50,11840,0,0.0
25,5920,14,2.011494
20,4736,16,2.298851
15,3552,122,17.528736
10,2368,687,98.706897
