model,train_n,validation_n,test_n,alpha,r2,rmse
BigFive,2116,667,693,100,0.45563724087878044,0.606991894165087
DirectTraitIndex,2116,667,693,100,0.40162372978087024,0.6363936966189753
BigFive_plus_DirectTraitIndex,2116,667,693,10,0.4954460403527452,0.5843761697785614
