model,pearson_r,spearman_rho,top10_overlap,bottom10_overlap
Gemma,0.9431598733422867,0.9315570814460055,6,5
Llama,0.9531874943684356,0.9357658463402673,5,8
Qwen,0.8719170553694793,0.7947797236086668,3,6
